,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
162,New Orleans Pelicans,-0.5621548279999999,Non-rookie,6.021283333333334,5,DeMarcus Cousins,202326.0,297,DeMarcus Cousins,8.19162996209461
163,New Orleans Pelicans,-0.5621548279999999,Non-rookie,0.10273,5,Jordan Crawford,202348.0,274,Jordan Crawford,-1.1276633597075172
164,New Orleans Pelicans,-0.5621548279999999,Non-rookie,7.925168666666668,5,Anthony Davis,203076.0,62,Anthony Davis,9.048701016885882
165,New Orleans Pelicans,-0.5621548279999999,Non-rookie,4.078844999999999,5,Solomon Hill,203524.0,245,Solomon Hill,-2.53889603069053
166,New Orleans Pelicans,-0.5621548279999999,Non-rookie,8.562222333333333,5,Jrue Holiday,201950.0,507,Jrue Holiday,4.90309933780676
167,New Orleans Pelicans,-0.5621548279999999,Non-rookie,0.7,5,Darius Miller,203121.0,296,Darius Miller,-2.6433044257256273
168,New Orleans Pelicans,-0.5621548279999999,Non-rookie,4.166666666666667,5,Nikola Mirotic,202703.0,104,Nikola Mirotic,4.412191447906274
169,New Orleans Pelicans,-0.5621548279999999,Non-rookie,2.815008,5,E'Twaun Moore,202734.0,151,E'Twaun Moore,1.0889750696465548
170,New Orleans Pelicans,-0.5621548279999999,Non-rookie,0.2583046666666667,5,Emeka Okafor,2731.0,193,Emeka Okafor,-1.5294522656520826
171,New Orleans Pelicans,-0.5621548279999999,Non-rookie,1.1,5,Rajon Rondo,200765.0,476,Rajon Rondo,-7.734745405877046
172,Dallas Mavericks,-1.412858355,Non-rookie,1.3013,5,J.J. Barea,200826.0,368,J.J. Barea,3.952950476794234
173,Dallas Mavericks,-1.412858355,Non-rookie,7.704001333333332,5,Harrison Barnes,203084.0,165,Harrison Barnes,-1.0076886199652026
174,Dallas Mavericks,-1.412858355,Non-rookie,5.961392,5,Wesley Matthews,202083.0,67,Wesley Matthews,-5.926536924169435
175,Dallas Mavericks,-1.412858355,Non-rookie,2.007058333333333,5,Josh McRoberts,201177.0,512,Josh McRoberts,-0.22240893924336275
176,Dallas Mavericks,-1.412858355,Non-rookie,1.3958663333333334,5,Nerlens Noel,203457.0,219,Nerlens Noel,-8.393296918171497
177,Dallas Mavericks,-1.412858355,Non-rookie,1.6666666666666667,5,Dirk Nowitzki,1717.0,430,Dirk Nowitzki,5.257966207140104
178,Dallas Mavericks,-1.412858355,Non-rookie,3.0010416666666666,5,Dwight Powell,203939.0,68,Dwight Powell,-5.944707243351912
179,Sacramento Kings,-2.167864662,Non-rookie,0.5,5,Arron Afflalo,201167.0,200,Arron Afflalo,-4.3363799720452505
180,Sacramento Kings,-2.167864662,Non-rookie,3.156871333333333,5,Bogdan Bogdanovic,203992.0,360,Bogdan Bogdanovic,1.5080171319237632
181,Sacramento Kings,-2.167864662,Non-rookie,2.6666666666666665,5,Vince Carter,1713.0,10,Vince Carter,-0.21196148748032018
182,Sacramento Kings,-2.167864662,Non-rookie,3.168333333333333,5,Joe Johnson,2207.0,499,Joe Johnson,0.5686631160292563
183,Sacramento Kings,-2.167864662,Non-rookie,2.7976666666666667,5,Kosta Koufos,201585.0,133,Kosta Koufos,-4.6096575825777375
184,Sacramento Kings,-2.167864662,Non-rookie,4.102564,5,Zach Randolph,2216.0,44,Zach Randolph,-1.4740642448638424
185,Sacramento Kings,-2.167864662,Non-rookie,3.445693,5,Iman Shumpert,202697.0,275,Iman Shumpert,4.476418691114874
186,Sacramento Kings,-2.167864662,Non-rookie,2.6666666666666665,5,Garrett Temple,202066.0,346,Garrett Temple,4.63453505738535
187,New York Knicks,-2.742011328,Non-rookie,0.4904606666666666,5,Michael Beasley,201563.0,88,Michael Beasley,-0.3823078298996947
188,New York Knicks,-2.742011328,Non-rookie,0.26138666666666666,5,Trey Burke,203504.0,176,Trey Burke,1.9022224527171891
189,New York Knicks,-2.742011328,Non-rookie,5.5,5,Tim Hardaway Jr.,203501.0,192,Tim Hardaway Jr.,8.135365984903274
190,New York Knicks,-2.742011328,Non-rookie,0.4904606666666666,5,Jarrett Jack,101127.0,196,Jarrett Jack,1.5674758253050207
191,New York Knicks,-2.742011328,Non-rookie,6.855600666666668,5,Enes Kanter,202683.0,177,Enes Kanter,-2.0558788006760755
192,New York Knicks,-2.742011328,Non-rookie,3.9159633333333335,5,Courtney Lee,201584.0,87,Courtney Lee,-1.2432097536162487
193,New York Knicks,-2.742011328,Non-rookie,5.921666666666668,5,Joakim Noah,201149.0,528,Joakim Noah,-0.3657921733185161
194,New York Knicks,-2.742011328,Non-rookie,1.3625,5,Kyle O'Quinn,203124.0,321,Kyle O'Quinn,-2.812728201101793
195,New York Knicks,-2.742011328,Non-rookie,0.4904606666666666,5,Ramon Sessions,201196.0,236,Ramon Sessions,0.6448620658052429
196,New York Knicks,-2.742011328,Non-rookie,2.218441666666666,5,Lance Thomas,202498.0,175,Lance Thomas,-5.648615687997362
197,Phoenix Suns,-4.014177796,Non-rookie,4.333333333333333,5,Tyson Chandler,2199.0,401,Tyson Chandler,-6.768888067125852
198,Phoenix Suns,-4.014177796,Non-rookie,3.333333333333333,5,Jared Dudley,201162.0,166,Jared Dudley,2.826612102274172
199,Phoenix Suns,-4.014177796,Non-rookie,1.3958663333333334,5,Alex Len,203458.0,66,Alex Len,-5.329662393726825
200,Phoenix Suns,-4.014177796,Non-rookie,5.4613916666666675,5,Greg Monroe,202328.0,426,Greg Monroe,-4.219123215263917
201,Philadelphia 76ers,-4.722418349,Non-rookie,3.0,5,Jerryd Bayless,201573.0,40,Jerryd Bayless,-2.057148840703859
202,Philadelphia 76ers,-4.722418349,Non-rookie,2.908333333333333,5,Trevor Booker,202344.0,41,Trevor Booker,0.28459360523100585
