,mu,sd,name
457,1.6756756666666666,5,Patrick Beverley
458,1.20964,5,Zach Collins
459,1.03716,5,Donovan Mitchell
460,4.305936,5,Mason Plumlee
461,0.279488,5,Jarred Vanderbilt
462,10.404765,5,Gordon Hayward
463,0.005697333333333334,5,Eric Moreland
464,7.196969666666667,5,Aaron Gordon
465,3.3333333333333335,5,Danny Green
466,0.329488,5,Devonte' Graham
467,0.11394366666666667,5,Henry Ellenson
468,0.14993133333333333,5,Edmond Sumner
469,0.5042003333333334,5,Christian Wood
470,4.045842333333334,5,Kelly Olynyk
471,0.04557733333333333,5,Jodie Meeks
472,0.93596,5,Justin Jackson
473,0.008545666666666667,5,Deyonta Davis
474,0.5042003333333334,5,Treveon Graham
475,9.246658333333333,5,DeMar DeRozan
476,0.0,5,Tyler Cavanaugh
477,0.0,5,JaKarr Sampson
478,0.5042003333333334,5,Udonis Haslem
479,0.0,5,C.J. Williams
480,0.0,5,Drew Eubanks
481,1.27792,5,Buddy Hield
482,0.0,5,J.J. Barea
483,0.5042003333333334,5,Jose Calderon
484,4.166666666666667,5,Miles Plumlee
485,0.0,5,Vincent Edwards
486,0.0,5,Jaylen Morris
487,0.0,5,Okaro White
488,0.279488,5,Ryan Broekhoff
489,0.0,5,Daniel Hamilton
490,0.0,5,Trevon Duval
491,0.0,5,Jordan Sibert
492,3.8869053333333334,5,Marcus Smart
493,0.0,5,Justin Patton
494,0.84228,5,Dario Saric
495,5.666666666666667,5,Bismack Biyombo
496,1.483,5,Ed Davis
497,0.5223356666666666,5,Jahlil Okafor
498,0.111095,5,Pau Gasol
499,0.5149836666666666,5,Jake Layman
500,0.5042003333333334,5,Kevon Looney
501,0.459414,5,Sindarius Thornwell
502,7.6324,5,DeAndre Jordan
503,4.348485,5,Joe Ingles
504,0.63732,5,Aaron Holiday
505,8.489083333333333,5,Nikola Jokic
506,0.0,5,Thomas Welsh
507,0.78572,5,Lonnie Walker IV
508,1.8172,5,Patrick Patterson
509,4.8839,5,James Johnson
510,0.01994,5,Michael Carter-Williams
