,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[443],-0.997,2.937,-6.412,4.604,0.063,0.068,2156.0,1298.0,1.0
x[444],-0.867,2.981,-6.413,4.531,0.076,0.072,1536.0,1202.0,1.0
x[445],-0.932,2.881,-6.189,4.525,0.061,0.069,2273.0,1088.0,1.0
x[446],-0.03,2.94,-5.276,5.643,0.063,0.081,2144.0,1130.0,1.0
x[447],0.893,2.793,-4.713,5.956,0.065,0.07,1866.0,1170.0,1.0
x[448],-0.544,2.761,-5.714,4.532,0.064,0.072,1830.0,1053.0,1.0
x[449],-0.739,2.726,-5.682,4.388,0.06,0.062,2080.0,1344.0,1.0
x[450],2.024,2.722,-2.73,7.386,0.072,0.06,1424.0,1250.0,1.0
x[451],0.826,2.728,-4.343,5.882,0.069,0.064,1588.0,1144.0,1.0
x[452],0.356,2.879,-4.863,5.898,0.065,0.073,1984.0,1135.0,1.0
x[453],1.184,2.76,-4.205,6.012,0.066,0.061,1753.0,1250.0,1.0
x[454],-0.855,2.953,-6.627,4.451,0.076,0.081,1540.0,984.0,1.0
x[455],3.798,2.732,-1.245,9.028,0.063,0.048,1869.0,1094.0,1.0
x[456],1.196,2.712,-4.353,5.872,0.066,0.065,1697.0,979.0,1.0
x[457],0.287,2.776,-4.819,5.459,0.067,0.073,1727.0,1138.0,1.0
x[458],2.639,2.874,-2.618,8.12,0.066,0.066,1914.0,1112.0,1.0
x[459],4.697,2.686,-0.331,9.626,0.06,0.046,2018.0,1209.0,1.0
x[460],0.89,2.841,-4.302,6.43,0.063,0.073,2044.0,1035.0,1.0
x[461],-0.082,2.819,-5.471,5.102,0.061,0.08,2109.0,1298.0,1.0
x[462],0.716,2.914,-4.599,6.28,0.061,0.073,2287.0,1059.0,1.0
x[463],0.659,2.85,-4.445,6.083,0.058,0.07,2385.0,1403.0,1.0
x[464],1.976,2.839,-2.977,7.349,0.065,0.057,1891.0,1388.0,1.0
x[465],2.15,2.879,-3.095,7.72,0.064,0.063,2032.0,1220.0,1.0
x[466],-1.071,2.978,-6.74,3.943,0.073,0.106,1884.0,931.0,1.0
x[467],-0.991,2.925,-6.23,4.534,0.057,0.067,2642.0,1461.0,1.0
x[468],-0.902,3.091,-6.889,4.624,0.065,0.075,2258.0,1271.0,1.0
x[469],0.391,2.969,-4.871,6.028,0.069,0.074,1838.0,1298.0,1.0
x[470],-1.098,2.967,-6.329,4.618,0.071,0.068,1767.0,906.0,1.0
x[471],-0.648,3.023,-6.199,5.191,0.073,0.077,1738.0,1234.0,1.0
x[472],-1.029,3.066,-7.09,4.521,0.068,0.074,2040.0,1285.0,1.0
x[473],-0.859,2.971,-6.131,4.833,0.068,0.071,1928.0,1203.0,1.0
x[474],-1.191,2.962,-7.173,3.885,0.073,0.071,1662.0,1186.0,1.01
x[475],-0.987,3.048,-7.195,4.497,0.067,0.088,2072.0,998.0,1.01
sigma,83.168,0.807,81.517,84.598,0.018,0.013,1911.0,1311.0,1.0
