"","Year","Pick","Name","Team"
"953",2004,53,"Matt Freije","Miami Heat"
"954",2004,54,"Rickey Paulding","Detroit Pistons"
"955",2004,55,"Luis Flores","Houston Rockets"
"956",2004,56,"Marcus Douthit","Los Angeles Lakers"
"957",2004,57,"Sergei Karaulov","San Antonio Spurs"
"958",2004,58,"Blake Stepp","Minnesota Timberwolves"
"959",2004,59,"Rashad Wright","Indiana Pacers"
"960",2003,1,"LeBron James","Cleveland Cavaliers"
"961",2003,2,"Darko Milicic","Detroit Pistons"
"962",2003,3,"Carmelo Anthony","Denver Nuggets"
"963",2003,4,"Chris Bosh","Toronto Raptors"
"964",2003,5,"Dwyane Wade","Miami Heat"
"965",2003,6,"Chris Kaman","Los Angeles Clippers"
"966",2003,7,"Kirk Hinrich","Chicago Bulls"
"967",2003,8,"T.J. Ford","Milwaukee Bucks"
"968",2003,9,"Michael Sweetney","New York Knicks"
"969",2003,10,"Jarvis Hayes","Washington Wizards"
"970",2003,11,"Mickael Pietrus","Golden State Warriors"
"971",2003,12,"Nick Collison","Seattle SuperSonics"
"972",2003,13,"Marcus Banks","Memphis Grizzlies"
"973",2003,14,"Luke Ridnour","Seattle SuperSonics"
"974",2003,15,"Reece Gaines","Orlando Magic"
"975",2003,16,"Troy Bell","Boston Celtics"
"976",2003,17,"Zarko Cabarkapa","Phoenix Suns"
"977",2003,18,"David West","New Orleans Hornets"
"978",2003,19,"Sasha Pavlovic","Utah Jazz"
"979",2003,20,"Dahntay Jones","Boston Celtics"
"980",2003,21,"Boris Diaw","Atlanta Hawks"
"981",2003,22,"Zoran Planinic","New Jersey Nets"
"982",2003,23,"Travis Outlaw","Portland Trail Blazers"
"983",2003,24,"Brian Cook","Los Angeles Lakers"
"984",2003,25,"Carlos Delfino","Detroit Pistons"
"985",2003,26,"Ndudi Ebi","Minnesota Timberwolves"
"986",2003,27,"Kendrick Perkins","Memphis Grizzlies"
"987",2003,28,"Leandro Barbosa","San Antonio Spurs"
"988",2003,29,"Josh Howard","Dallas Mavericks"
"989",2003,30,"Maciej Lampe","New York Knicks"
"990",2003,31,"Jason Kapono","Cleveland Cavaliers"
"991",2003,32,"Luke Walton","Los Angeles Lakers"
"992",2003,33,"Jerome Beasley","Miami Heat"
"993",2003,34,"Sofoklis Schortsanitis","Los Angeles Clippers"
"994",2003,35,"Szymon Szewczyk","Milwaukee Bucks"
"995",2003,36,"Mario Austin","Chicago Bulls"
"996",2003,37,"Travis Hansen","Atlanta Hawks"
"997",2003,38,"Steve Blake","Washington Wizards"
"998",2003,39,"Slavko Vranes","New York Knicks"
"999",2003,40,"Derrick Zimmerman","Golden State Warriors"
"1000",2003,41,"Willie Green","Seattle SuperSonics"
"1001",2003,42,"Zaza Pachulia","Orlando Magic"
"1002",2003,43,"Keith Bogans","Milwaukee Bucks"
"1003",2003,44,"Malick Badiane","Houston Rockets"
"1004",2003,45,"Matt Bonner","Chicago Bulls"
"1005",2003,46,"Sani Becirovic","Denver Nuggets"
"1006",2003,47,"Mo Williams","Utah Jazz"
"1007",2003,48,"James Lang","New Orleans Hornets"
"1008",2003,49,"James Jones","Indiana Pacers"
"1009",2003,50,"Paccelis Morlende","Philadelphia 76ers"
"1010",2003,51,"Kyle Korver","New Jersey Nets"
