,Team,rating,Unnamed: 0,Type,mu,sd,name
180,Charlotte Hornets,1.065368971,8534,Non-rookie,7.478261,5,Nicolas Batum
181,Charlotte Hornets,1.065368971,11173,Rookie,0.437537,5,Treveon Graham
182,Milwaukee Bucks,0.860694254,2385,Rookie,0.71168,5,D.J. Wilson
183,Milwaukee Bucks,0.860694254,2891,Non-rookie,0.525743333,5,DeAndre Liggins
184,Milwaukee Bucks,0.860694254,3815,Non-rookie,4.833333333,5,Eric Bledsoe
185,Milwaukee Bucks,0.860694254,4259,Non-rookie,7.490636667,5,Giannis Antetokounmpo
186,Milwaukee Bucks,0.860694254,4817,Rookie,2.260797333,5,Jabari Parker
187,Milwaukee Bucks,0.860694254,5286,Non-rookie,0.776217333,5,Jason Terry
188,Milwaukee Bucks,0.860694254,5834,Non-rookie,3.807512,5,John Henson
189,Milwaukee Bucks,0.860694254,6691,Non-rookie,4.7,5,Khris Middleton
190,Milwaukee Bucks,0.860694254,7377,Rookie,0.437537,5,Malcolm Brogdon
191,Milwaukee Bucks,0.860694254,7869,Rookie,3.2025,5,Matthew Dellavedova
192,Milwaukee Bucks,0.860694254,8261,Non-rookie,3.5,5,Mirza Teletovic
193,Milwaukee Bucks,0.860694254,9111,Rookie,0.62968,5,Rashad Vaughn
194,Milwaukee Bucks,0.860694254,10439,Rookie,0.271871667,5,Sterling Brown
195,Milwaukee Bucks,0.860694254,10773,Rookie,0.89472,5,Thon Maker
196,Milwaukee Bucks,0.860694254,11068,Non-rookie,3.273809667,5,Tony Snell
197,Chicago Bulls,0.824932591,1177,Rookie,0.50544,5,Bobby Portis
198,Chicago Bulls,0.824932591,1631,Rookie,0.73448,5,Cameron Payne
199,Chicago Bulls,0.824932591,2358,Rookie,2.6145,5,Cristiano Felicio
200,Chicago Bulls,0.824932591,2804,Rookie,0.437537,5,David Nwaba
201,Chicago Bulls,0.824932591,3005,Rookie,0.7288,5,Denzel Valentine
202,Chicago Bulls,0.824932591,3570,Non-rookie,5.183333333,5,Dwyane Wade
203,Chicago Bulls,0.824932591,4714,Rookie,0.066666667,5,Isaiah Canaan
204,Chicago Bulls,0.824932591,5125,Rookie,0.005741333,5,Jarell Eddie
205,Chicago Bulls,0.824932591,5487,Rookie,0.57128,5,Jerian Grant
206,Chicago Bulls,0.824932591,6233,Rookie,1.538461667,5,Justin Holiday
207,Chicago Bulls,0.824932591,6306,Rookie,0.437537,5,Kay Felder
208,Chicago Bulls,0.824932591,6760,Rookie,1.34892,5,Kris Dunn
209,Chicago Bulls,0.824932591,7032,Rookie,1.27388,5,Lauri Markkanen
210,Chicago Bulls,0.824932591,8549,Rookie,4.166666667,5,Nikola Mirotic
211,Chicago Bulls,0.824932591,8834,Rookie,0.437537,5,Paul Zipser
212,Chicago Bulls,0.824932591,8968,Non-rookie,1.284643667,5,Quincy Pondexter
213,Chicago Bulls,0.824932591,9038,Non-rookie,1.1,5,Rajon Rondo
214,Chicago Bulls,0.824932591,9491,Non-rookie,4.596166667,5,Robin Lopez
215,Chicago Bulls,0.824932591,11765,Rookie,1.067405667,5,Zach LaVine
216,Indiana Pacers,0.567018304,176,Non-rookie,3.256607,5,Al Jefferson
217,Indiana Pacers,0.567018304,1193,Rookie,3.5,5,Bojan Bogdanovic
218,Indiana Pacers,0.567018304,2317,Non-rookie,2.543333333,5,Cory Joseph
219,Indiana Pacers,0.567018304,2458,Non-rookie,0.705651667,5,Damien Wilkins
220,Indiana Pacers,0.567018304,2737,Non-rookie,3.333333333,5,Darren Collison
221,Indiana Pacers,0.567018304,3313,Rookie,0.85,5,Domantas Sabonis
222,Indiana Pacers,0.567018304,4201,Rookie,0.033333333,5,Georges Niang
223,Indiana Pacers,0.567018304,4675,Rookie,0.316666667,5,Ike Anigbogu
224,Indiana Pacers,0.567018304,5744,Rookie,0.490460667,5,Joe Young
225,Indiana Pacers,0.567018304,6920,Non-rookie,1.393333333,5,Lance Stephenson
226,Indiana Pacers,0.567018304,8385,Rookie,0.85664,5,Myles Turner
227,Indiana Pacers,0.567018304,10747,Non-rookie,4.932116,5,Thaddeus Young
228,Indiana Pacers,0.567018304,11411,Non-rookie,7,5,Victor Oladipo
229,Minnesota Timberwolves,0.487595368,36,Non-rookie,0.705651667,5,Aaron Brooks
230,Minnesota Timberwolves,0.487595368,551,Rookie,2.524774,5,Andrew Wiggins
231,Minnesota Timberwolves,0.487595368,2246,Non-rookie,2.433333333,5,Cole Aldrich
232,Minnesota Timberwolves,0.487595368,4333,Non-rookie,4.70412,5,Gorgui Dieng
233,Minnesota Timberwolves,0.487595368,4934,Non-rookie,3.647587333,5,Jamal Crawford
234,Minnesota Timberwolves,0.487595368,5422,Non-rookie,6.333333333,5,Jeff Teague
235,Minnesota Timberwolves,0.487595368,5637,Non-rookie,6.43369,5,Jimmy Butler
236,Minnesota Timberwolves,0.487595368,6235,Rookie,0.74916,5,Justin Patton
237,Minnesota Timberwolves,0.487595368,6297,Rookie,2.07228,5,Karl-Anthony Towns
238,Minnesota Timberwolves,0.487595368,7518,Rookie,0.437537,5,Marcus Georges-Hunt
239,Minnesota Timberwolves,0.487595368,8440,Rookie,1.316666333,5,Nemanja Bjelica
240,Minnesota Timberwolves,0.487595368,10099,Non-rookie,0.525743333,5,Shabazz Muhammad
241,Minnesota Timberwolves,0.487595368,10592,Non-rookie,4.666666667,5,Taj Gibson
242,Minnesota Timberwolves,0.487595368,11364,Rookie,0.490460667,5,Tyus Jones
243,Atlanta Hawks,0,2892,Non-rookie,0.525743333,5,DeAndre Liggins
244,Atlanta Hawks,0,2991,Rookie,5.166666667,5,Dennis Schroder
245,Atlanta Hawks,0,3221,Rookie,2,5,Dewayne Dedmon
246,Atlanta Hawks,0,3947,Non-rookie,2,5,Ersan Ilyasova
247,Atlanta Hawks,0,4726,Rookie,0.437537,5,Isaiah Taylor
248,Atlanta Hawks,0,4933,Non-rookie,3.647587333,5,Jamal Crawford
249,Atlanta Hawks,0,5458,Non-rookie,0.016666667,5,Jeremy Evans
250,Atlanta Hawks,0,5816,Rookie,0.64564,5,John Collins
251,Atlanta Hawks,0,6493,Non-rookie,5.636704333,5,Kent Bazemore
252,Atlanta Hawks,0,7299,Non-rookie,0.658053,5,Luke Babbitt
253,Atlanta Hawks,0,7379,Rookie,0.833333333,5,Malcolm Delaney
254,Atlanta Hawks,0,7481,Non-rookie,2.20202,5,Marco Belinelli
255,Atlanta Hawks,0,8186,Rookie,1.666666667,5,Mike Muscala
256,Atlanta Hawks,0,8237,Non-rookie,4.166666667,5,Miles Plumlee
257,Atlanta Hawks,0,8536,Rookie,0.437537,5,Nicolas Brussino
258,Atlanta Hawks,0,8971,Rookie,0.033333333,5,Quinn Cook
259,Atlanta Hawks,0,9337,Non-rookie,0.833333333,5,Richard Jefferson
260,Atlanta Hawks,0,11262,Rookie,0.016666667,5,Tyler Cavanaugh
261,Atlanta Hawks,0,11263,Rookie,0.271871667,5,Tyler Dorsey
262,Detroit Pistons,-0.16488799,418,Non-rookie,7.925168667,5,Andre Drummond
263,Detroit Pistons,-0.16488799,727,Non-rookie,1.096666667,5,Anthony Tolliver
264,Detroit Pistons,-0.16488799,890,Non-rookie,2.936329667,5,Avery Bradley
265,Detroit Pistons,-0.16488799,1140,Rookie,2.333333333,5,Boban Marjanovic
266,Detroit Pistons,-0.16488799,3855,Rookie,0.579777667,5,Eric Moreland
267,Detroit Pistons,-0.16488799,4565,Rookie,0.5936,5,Henry Ellenson
268,Detroit Pistons,-0.16488799,4740,Rookie,2,5,Ish Smith
269,Detroit Pistons,-0.16488799,5981,Non-rookie,3.499106333,5,Jon Leuer
270,Detroit Pistons,-0.16488799,6163,Non-rookie,1.8,5,Josh Smith
271,Detroit Pistons,-0.16488799,6936,Rookie,2.222222333,5,Langston Galloway
272,Detroit Pistons,-0.16488799,7307,Rookie,0.91976,5,Luke Kennard
273,Detroit Pistons,-0.16488799,9214,Non-rookie,0.833333333,5,Reggie Bullock
274,Detroit Pistons,-0.16488799,9234,Non-rookie,5.333333333,5,Reggie Jackson
275,Detroit Pistons,-0.16488799,10387,Rookie,1.0326,5,Stanley Johnson
276,Detroit Pistons,-0.16488799,10890,Non-rookie,5.333333333,5,Tobias Harris
277,New Orleans Pelicans,-0.562154828,642,Non-rookie,7.925168667,5,Anthony Davis
278,New Orleans Pelicans,-0.562154828,1882,Rookie,0.437537,5,Cheick Diallo
279,New Orleans Pelicans,-0.562154828,2647,Non-rookie,0.766666667,5,Dante Cunningham
280,New Orleans Pelicans,-0.562154828,2673,Non-rookie,0.7,5,Darius Miller
281,New Orleans Pelicans,-0.562154828,2962,Non-rookie,6.021283333,5,DeMarcus Cousins
282,New Orleans Pelicans,-0.562154828,4659,Rookie,0.525743333,5,Ian Clark
283,New Orleans Pelicans,-0.562154828,4970,Non-rookie,1.578683333,5,Jameer Nelson
284,New Orleans Pelicans,-0.562154828,6027,Non-rookie,0.083333333,5,Jordan Crawford
285,New Orleans Pelicans,-0.562154828,6164,Non-rookie,1.8,5,Josh Smith
286,New Orleans Pelicans,-0.562154828,6173,Non-rookie,8.562222333,5,Jrue Holiday
287,New Orleans Pelicans,-0.562154828,8629,Non-rookie,3.531835,5,Omer Asik
288,New Orleans Pelicans,-0.562154828,8972,Rookie,0.033333333,5,Quinn Cook
289,New Orleans Pelicans,-0.562154828,9037,Non-rookie,1.1,5,Rajon Rondo
290,New Orleans Pelicans,-0.562154828,10313,Non-rookie,4.078845,5,Solomon Hill
291,New Orleans Pelicans,-0.562154828,10986,Non-rookie,0.705651667,5,Tony Allen
292,Dallas Mavericks,-1.412858355,3215,Non-rookie,1.467515333,5,Devin Harris
