,mu,sd,name
375,0.0,5,Gary Clark
376,0.0,5,James Nunnally
377,0.85,5,Domantas Sabonis
378,5.153558333333334,5,Jonas Valanciunas
379,1.6641283333333334,5,Dante Exum
380,0.437537,5,Fred VanVleet
381,2.05628,5,Ben Simmons
382,0.6666666666666666,5,Tim Frazier
383,7.478261,5,Nicolas Batum
384,0.0,5,Johnathan Motley
385,0.5081016666666667,5,Joe Harris
386,7.490636666666667,5,Giannis Antetokounmpo
387,0.0,5,Khyri Thomas
388,2.802,5,Rudy Gay
389,4.0,5,Jeremy Lin
390,1.0674056666666667,5,Zach LaVine
391,0.7056516666666667,5,Michael Beasley
392,0.0,5,Wade Baldwin IV
393,4.307116,5,Kenneth Faried
394,5.961392,5,Greg Monroe
395,0.0,5,Kadeem Allen
396,2.0871316666666666,5,Isaiah Thomas
397,0.0,5,Jacob Evans
398,0.57128,5,Jerian Grant
399,0.0,5,Landry Shamet
400,2.439678333333333,5,Al-Farouq Aminu
401,0.0,5,James Ennis III
402,6.021283333333334,5,DeMarcus Cousins
403,8.333333333333334,5,Kevin Durant
404,0.0,5,Shai Gilgeous-Alexander
405,6.289541666666667,5,Kyrie Irving
406,0.0,5,Wes Iwundu
407,3.156871333333333,5,Bogdan Bogdanovic
408,0.2718716666666667,5,Dwayne Bacon
409,1.0246,5,Marquese Chriss
410,0.0,5,Gary Trent Jr.
411,1.3333333333333333,5,Jonas Jerebko
412,7.54745,5,Kevin Love
413,0.0,5,John Jenkins
414,0.0,5,Jordan McRae
415,1.16704,5,Frank Ntilikina
416,0.7762173333333333,5,Andrew Bogut
417,0.0,5,Troy Caupain
418,0.817075,5,Bruno Caboclo
419,0.0,5,Bonzie Colson
420,1.11078,5,Elfrid Payton
421,1.0666666666666667,5,Ekpe Udoh
422,0.0,5,Walter Lemon Jr.
423,0.4682,5,Derrick White
424,0.0,5,Isaac Humphries
425,6.502986,5,Paul George
426,1.6666666666666667,5,Dirk Nowitzki
427,0.569846,5,Tyler Zeller
428,2.0,5,Ersan Ilyasova
429,2.4736373333333335,5,Channing Frye
430,0.0,5,Cameron Reynolds
431,0.0,5,Zhaire Smith
432,0.7781733333333334,5,Clint Capela
433,0.06666666666666667,5,Isaiah Canaan
434,6.021283333333334,5,John Wall
435,2.0,5,Shelvin Mack
436,0.73448,5,Cameron Payne
437,5.915298,5,Kentavious Caldwell-Pope
438,0.91976,5,Luke Kennard
439,0.0,5,JR Smith
440,0.394795,5,Frank Mason
441,2.0,5,Milos Teodosic
442,1.4896,5,Dragan Bender
443,0.0,5,DJ Stephens
444,0.47164,5,Tony Bradley
445,0.8138,5,Trey Lyles
446,0.78712,5,Shabazz Napier
447,0.0,5,Omari Spellman
448,1.34892,5,Kris Dunn
449,5.921666666666667,5,Joakim Noah
450,0.0,5,Kobi Simmons
451,6.43369,5,Jimmy Butler
452,0.7056516666666667,5,Derrick Rose
453,0.7056516666666667,5,Jeff Green
454,8.562222333333333,5,Jrue Holiday
455,2.5264553333333333,5,Corey Brewer
456,0.0,5,Terrence Jones
457,1.837838,5,Patrick Beverley
458,1.01908,5,Zach Collins
459,0.87376,5,Donovan Mitchell
460,4.6803653333333335,5,Mason Plumlee
461,0.0,5,Jarred Vanderbilt
462,9.9093,5,Gordon Hayward
463,0.5797776666666666,5,Eric Moreland
464,1.8348066666666667,5,Aaron Gordon
465,3.3333333333333335,5,Danny Green
466,0.0,5,Devonte' Graham
467,0.5936,5,Henry Ellenson
468,0.0,5,Edmond Sumner
469,0.0,5,Christian Wood
470,3.535723,5,Kelly Olynyk
471,1.0966666666666667,5,Jodie Meeks
472,0.78852,5,Justin Jackson
473,0.437537,5,Deyonta Davis
474,0.437537,5,Treveon Graham
475,9.246658333333333,5,DeMar DeRozan
476,0.016666666666666666,5,Tyler Cavanaugh
477,0.0,5,JaKarr Sampson
478,0.7762173333333333,5,Udonis Haslem
479,0.0,5,C.J. Williams
480,0.0,5,Drew Eubanks
481,1.22516,5,Buddy Hield
482,1.3013,5,J.J. Barea
483,0.7762173333333333,5,Jose Calderon
484,4.166666666666667,5,Miles Plumlee
485,0.0,5,Vincent Edwards
486,0.0,5,Jaylen Morris
487,0.437537,5,Okaro White
488,0.0,5,Ryan Broekhoff
489,0.0,5,Daniel Hamilton
490,0.0,5,Trevon Duval
491,0.0,5,Jordan Sibert
492,1.5126733333333333,5,Marcus Smart
493,0.74916,5,Justin Patton
494,0.80752,5,Dario Saric
495,5.666666666666667,5,Bismack Biyombo
496,2.117510333333333,5,Ed Davis
497,1.66504,5,Jahlil Okafor
498,5.333333333333333,5,Pau Gasol
499,0.437537,5,Jake Layman
500,0.49046066666666666,5,Kevon Looney
501,0.2718716666666667,5,Sindarius Thornwell
502,7.54745,5,DeAndre Jordan
503,4.712121333333333,5,Joe Ingles
504,0.0,5,Aaron Holiday
505,0.49046066666666666,5,Nikola Jokic
506,0.0,5,Thomas Welsh
507,0.0,5,Lonnie Walker IV
508,1.7306666666666666,5,Patrick Patterson
509,4.6513333333333335,5,James Johnson
510,0.9,5,Michael Carter-Williams
511,0.0,5,Rawle Alkins
512,0.0,5,Lorenzo Brown
513,1.050977,5,T.J. Warren
514,1.8398,5,Brandon Ingram
515,0.0,5,Chandler Hutchison
