,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[471],-1.785,2.283,-6.119,2.306,0.032,0.042,5076.0,1121.0,1.0
x[472],0.163,2.321,-4.311,4.349,0.034,0.059,4719.0,1504.0,1.0
x[473],1.495,2.124,-2.14,5.772,0.031,0.041,4720.0,1420.0,1.0
x[474],-0.732,2.336,-5.246,3.511,0.034,0.058,4549.0,1528.0,1.0
x[475],-0.09,2.557,-4.895,4.913,0.038,0.067,4408.0,1387.0,1.0
x[476],-3.026,2.29,-7.54,0.98,0.032,0.032,5214.0,1410.0,1.0
x[477],0.405,2.132,-3.655,4.061,0.03,0.057,5044.0,1365.0,1.0
x[478],2.504,2.172,-1.543,6.626,0.031,0.033,4809.0,1482.0,1.0
x[479],5.336,2.234,1.113,9.4,0.03,0.026,5692.0,1246.0,1.0
x[480],2.398,2.183,-1.853,6.336,0.032,0.034,4824.0,1301.0,1.0
x[481],4.746,2.189,0.746,8.96,0.032,0.028,4693.0,1571.0,1.01
x[482],-1.123,2.357,-5.394,3.317,0.032,0.053,5434.0,1478.0,1.0
x[483],-1.821,2.394,-6.443,2.613,0.037,0.045,4139.0,1515.0,1.0
x[484],-0.637,2.203,-4.807,3.445,0.033,0.06,4421.0,1537.0,1.0
x[485],-0.025,2.475,-4.793,4.373,0.035,0.074,5225.0,1331.0,1.01
x[486],1.561,3.851,-4.937,9.37,0.058,0.089,4404.0,1341.0,1.0
x[487],-0.596,3.946,-8.165,6.695,0.06,0.106,4384.0,1436.0,1.0
x[488],1.232,2.354,-3.139,5.602,0.037,0.05,4062.0,1552.0,1.0
x[489],3.038,2.274,-1.197,7.098,0.03,0.032,5607.0,1593.0,1.0
x[490],0.717,2.336,-3.246,5.434,0.032,0.052,5493.0,1508.0,1.0
x[491],-1.801,3.581,-8.475,4.826,0.066,0.081,2948.0,1345.0,1.0
x[492],-0.79,3.08,-7.237,4.249,0.041,0.082,5677.0,1175.0,1.01
x[493],-1.302,3.55,-7.943,5.349,0.049,0.088,5339.0,1363.0,1.0
x[494],-0.759,3.607,-7.941,5.668,0.051,0.091,5024.0,1409.0,1.0
x[495],1.429,2.178,-2.71,5.335,0.03,0.04,5142.0,1611.0,1.0
x[496],-1.088,2.936,-6.539,4.696,0.043,0.073,4646.0,1254.0,1.0
x[497],-0.31,3.057,-5.943,5.264,0.038,0.081,6602.0,1496.0,1.0
x[498],1.135,4.018,-6.343,9.139,0.056,0.106,5044.0,1293.0,1.0
x[499],0.713,2.157,-3.706,4.439,0.029,0.053,5314.0,1669.0,1.0
x[500],-3.575,2.274,-8.047,0.478,0.034,0.032,4581.0,1334.0,1.0
x[501],-0.358,2.094,-4.226,3.661,0.028,0.055,5581.0,1488.0,1.0
x[502],-0.513,3.095,-6.166,5.417,0.047,0.086,4405.0,1285.0,1.0
x[503],3.895,2.22,-0.111,8.104,0.035,0.031,3953.0,1602.0,1.0
x[504],-1.843,2.324,-6.16,2.522,0.032,0.044,5166.0,1639.0,1.0
x[505],0.017,2.172,-3.715,4.48,0.033,0.063,4380.0,1075.0,1.0
x[506],-1.54,2.513,-5.956,3.156,0.039,0.049,4130.0,1710.0,1.0
x[507],4.543,2.064,0.623,8.136,0.03,0.025,4667.0,1506.0,1.0
x[508],1.116,2.246,-3.372,5.05,0.033,0.049,4628.0,1359.0,1.01
x[509],-2.334,2.623,-7.579,2.399,0.038,0.046,4761.0,1448.0,1.0
x[510],-4.316,2.394,-8.71,0.127,0.035,0.032,4801.0,1438.0,1.0
x[511],1.871,2.208,-2.113,6.063,0.035,0.039,4020.0,1467.0,1.0
x[512],0.325,3.009,-5.181,5.714,0.042,0.073,5049.0,1605.0,1.0
x[513],1.362,2.173,-2.673,5.183,0.035,0.04,3926.0,1589.0,1.0
x[514],-2.06,2.495,-6.614,2.733,0.037,0.047,4419.0,1356.0,1.0
x[515],-1.041,2.473,-5.412,3.995,0.039,0.054,4005.0,1464.0,1.01
x[516],-2.166,2.736,-7.346,2.859,0.036,0.05,5930.0,1585.0,1.0
x[517],0.343,3.957,-6.935,7.397,0.056,0.103,4939.0,1330.0,1.0
x[518],-0.784,3.963,-8.229,6.661,0.063,0.096,3980.0,1395.0,1.0
x[519],-0.354,3.623,-7.78,5.797,0.049,0.103,5531.0,1268.0,1.0
x[520],-0.811,3.094,-6.562,4.808,0.039,0.073,6390.0,1618.0,1.0
x[521],-2.33,2.852,-7.354,3.237,0.04,0.052,4888.0,1538.0,1.0
x[522],-0.798,3.029,-5.954,5.216,0.047,0.075,4152.0,1284.0,1.0
x[523],-0.304,3.057,-6.03,5.35,0.052,0.088,3419.0,1269.0,1.01
x[524],-0.4,2.864,-6.165,4.511,0.037,0.074,6014.0,1397.0,1.0
x[525],-0.129,3.9,-7.173,7.419,0.048,0.113,6602.0,1235.0,1.0
x[526],-0.32,3.032,-6.238,5.069,0.041,0.088,5480.0,1221.0,1.0
x[527],0.01,3.848,-7.057,7.188,0.058,0.103,4433.0,1583.0,1.0
x[528],3.176,2.925,-2.185,8.727,0.037,0.045,6085.0,1480.0,1.0
x[529],0.202,3.95,-7.081,8.129,0.052,0.104,5664.0,1275.0,1.0
x[530],-0.745,3.015,-6.264,4.939,0.044,0.073,4732.0,1391.0,1.0
x[531],-1.611,2.899,-7.305,3.702,0.038,0.066,5993.0,1503.0,1.0
x[532],0.338,3.849,-7.081,7.406,0.048,0.093,6508.0,1427.0,1.0
x[533],0.085,4.053,-7.657,7.494,0.051,0.116,6365.0,1115.0,1.0
x[534],-0.854,3.018,-6.275,4.64,0.042,0.079,5306.0,1339.0,1.0
x[535],-0.143,3.097,-6.475,5.182,0.048,0.079,4258.0,1268.0,1.0
x[536],-1.289,3.132,-6.996,4.657,0.041,0.071,5789.0,1403.0,1.0
x[537],-0.754,2.913,-5.872,4.801,0.039,0.077,5659.0,1423.0,1.0
x[538],3.407,2.995,-2.063,8.968,0.045,0.049,4425.0,1428.0,1.0
x[539],0.71,2.881,-4.718,6.02,0.04,0.074,4944.0,1373.0,1.0
sigma,80.709,0.317,80.119,81.319,0.005,0.003,4754.0,1438.0,1.0
