,rating,Team,mu,sd,name,Contract Value,Year,Type
248,5.049265225,Detroit Pistons,1.096666667,5,Anthony Tolliver,"$3,290,000.00 ",2017,Non-rookie
250,5.049265225,Detroit Pistons,2.936329667,5,Avery Bradley,"$8,808,989.00 ",2017,Non-rookie
251,5.049265225,Detroit Pistons,2.333333333,5,Boban Marjanovic,"$7,000,000.00 ",2017,Non-rookie
254,5.049265225,Detroit Pistons,2,5,Ish Smith,"$6,000,000.00 ",2017,Non-rookie
255,5.049265225,Detroit Pistons,3.499106333,5,Jon Leuer,"$10,497,319.00 ",2017,Non-rookie
256,5.049265225,Detroit Pistons,1.8,5,Josh Smith,"$5,400,000.00 ",2017,Non-rookie
258,5.049265225,Detroit Pistons,2.222222333,5,Langston Galloway,"$6,666,667.00 ",2017,Non-rookie
260,5.049265225,Detroit Pistons,0.833333333,5,Reggie Bullock,"$2,500,000.00 ",2017,Non-rookie
261,5.049265225,Detroit Pistons,5.333333333,5,Reggie Jackson,"$16,000,000.00 ",2017,Non-rookie
263,5.049265225,Detroit Pistons,5.333333333,5,Tobias Harris,"$16,000,000.00 ",2017,Non-rookie
264,3.900598636,Los Angeles Lakers,0.776217333,5,Andrew Bogut,"$2,328,652.00 ",2017,Non-rookie
267,3.900598636,Los Angeles Lakers,7.54745,5,Brook Lopez,"$22,642,350.00 ",2017,Non-rookie
268,3.900598636,Los Angeles Lakers,2.526455333,5,Corey Brewer,"$7,579,366.00 ",2017,Non-rookie
270,3.900598636,Los Angeles Lakers,3.854166667,5,Jordan Clarkson,"$11,562,500.00 ",2017,Non-rookie
273,3.900598636,Los Angeles Lakers,5.915298,5,Kentavious Caldwell-Pope,"$17,745,894.00 ",2017,Non-rookie
275,3.900598636,Los Angeles Lakers,2.09552,5,Lonzo Ball,"$6,286,560.00 ",2017,Non-rookie
276,3.900598636,Los Angeles Lakers,5.73,5,Luol Deng,"$17,190,000.00 ",2017,Non-rookie
280,2.634309708,Dallas Mavericks,1.467515333,5,Devin Harris,"$4,402,546.00 ",2017,Non-rookie
281,2.634309708,Dallas Mavericks,1.666666667,5,Dirk Nowitzki,"$5,000,000.00 ",2017,Non-rookie
283,2.634309708,Dallas Mavericks,3.001041667,5,Dwight Powell,"$9,003,125.00 ",2017,Non-rookie
285,2.634309708,Dallas Mavericks,7.704001333,5,Harrison Barnes,"$23,112,004.00 ",2017,Non-rookie
288,2.634309708,Dallas Mavericks,2.007058333,5,Josh McRoberts,"$6,021,175.00 ",2017,Non-rookie
290,2.634309708,Dallas Mavericks,1.395866333,5,Nerlens Noel,"$4,187,599.00 ",2017,Non-rookie
292,2.634309708,Dallas Mavericks,5.961392,5,Wesley Matthews,"$17,884,176.00 ",2017,Non-rookie
294,1.767519876,New York Knicks,3.915963333,5,Courtney Lee,"$11,747,890.00 ",2017,Non-rookie
297,1.767519876,New York Knicks,6.855600667,5,Enes Kanter,"$20,566,802.00 ",2017,Non-rookie
299,1.767519876,New York Knicks,0.776217333,5,Jarrett Jack,"$2,328,652.00 ",2017,Non-rookie
300,1.767519876,New York Knicks,5.921666667,5,Joakim Noah,"$17,765,000.00 ",2017,Non-rookie
302,1.767519876,New York Knicks,2.218441667,5,Lance Thomas,"$6,655,325.00 ",2017,Non-rookie
304,1.767519876,New York Knicks,0.705651667,5,Michael Beasley,"$2,116,955.00 ",2017,Non-rookie
307,1.767519876,New York Knicks,0.776217333,5,Ramon Sessions,"$2,328,652.00 ",2017,Non-rookie
310,1.628278788,Brooklyn Nets,6.444166667,5,Allen Crabbe,"$19,332,500.00 ",2017,Non-rookie
312,1.628278788,Brooklyn Nets,4.933333333,5,DeMarre Carroll,"$14,800,000.00 ",2017,Non-rookie
315,1.628278788,Brooklyn Nets,4,5,Jeremy Lin,"$12,000,000.00 ",2017,Non-rookie
317,1.628278788,Brooklyn Nets,0.569846,5,Quincy Acy,"$1,709,538.00 ",2017,Non-rookie
321,1.628278788,Brooklyn Nets,5.093333333,5,Timofey Mozgov,"$15,280,000.00 ",2017,Non-rookie
