X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
110,199,5.382403139,Los Angeles Clippers,1.837838,5,Patrick Beverley,"$5,513,514.00 ",2017,Non-rookie,0.189135622,454,201976,Patrick Beverley
111,202,5.382403139,Los Angeles Clippers,1.96042,5,Wesley Johnson,"$5,881,260.00 ",2017,Non-rookie,-3.38825694,389,202325,Wesley Johnson
112,204,1.065368971,Charlotte Hornets,4.194756667,5,Cody Zeller,"$12,584,270.00 ",2017,Non-rookie,3.07207469,189,203469,Cody Zeller
113,206,1.065368971,Charlotte Hornets,7.833333333,5,Dwight Howard,"$23,500,000.00 ",2017,Non-rookie,-2.183059139,51,2730,Dwight Howard
114,208,1.065368971,Charlotte Hornets,2.333333333,5,Jeremy Lamb,"$7,000,000.00 ",2017,Non-rookie,4.688295757,53,203087,Jeremy Lamb
115,209,1.065368971,Charlotte Hornets,0.508101667,5,Julyan Stone,"$1,524,305.00 ",2017,Non-rookie,1.055285401,419,202933,Julyan Stone
116,210,1.065368971,Charlotte Hornets,4,5,Kemba Walker,"$12,000,000.00 ",2017,Non-rookie,10.26419886,50,202689,Kemba Walker
117,212,1.065368971,Charlotte Hornets,4.389583333,5,Marvin Williams,"$13,168,750.00 ",2017,Non-rookie,-0.999907005,413,101107,Marvin Williams
118,213,1.065368971,Charlotte Hornets,0.9,5,Michael Carter-Williams,"$2,700,000.00 ",2017,Non-rookie,-1.334039355,506,203487,Michael Carter-Williams
119,214,1.065368971,Charlotte Hornets,4.333333333,5,Michael Kidd-Gilchrist,"$13,000,000.00 ",2017,Non-rookie,-0.833412405,228,203077,Michael Kidd-Gilchrist
120,215,1.065368971,Charlotte Hornets,7.478261,5,Nicolas Batum,"$22,434,783.00 ",2017,Non-rookie,-0.549326856,361,201587,Nicolas Batum
121,218,1.904907009,Miami Heat,3.666666667,5,Dion Waiters,"$11,000,000.00 ",2017,Non-rookie,-2.126047891,285,203079,Dion Waiters
122,219,1.904907009,Miami Heat,5.666816667,5,Goran Dragic,"$17,000,450.00 ",2017,Non-rookie,5.900101111,83,201609,Goran Dragic
123,220,1.904907009,Miami Heat,7.925168667,5,Hassan Whiteside,"$23,775,506.00 ",2017,Non-rookie,-1.297057332,217,202355,Hassan Whiteside
