,rating,Team,mu,sd,name
316,-3.470284758,Phoenix Suns,5.961392,5,Greg Monroe
317,-3.470284758,Phoenix Suns,3.333333333,5,Jared Dudley
318,-3.470284758,Phoenix Suns,1.69668,5,Josh Jackson
319,-3.470284758,Phoenix Suns,1.0246,5,Marquese Chriss
320,-3.470284758,Phoenix Suns,1.050977,5,T.J. Warren
321,-3.470284758,Phoenix Suns,1.136173333,5,Troy Daniels
322,-3.470284758,Phoenix Suns,0.437537,5,Tyler Ulis
323,-3.470284758,Phoenix Suns,4.333333333,5,Tyson Chandler
324,,Toronto Raptors ,0.271871667,5,Alfonzo McKinnie
325,,Toronto Raptors ,0.817075,5,Bruno Caboclo
326,,Toronto Raptors ,0.5484,5,Delon Wright
327,,Toronto Raptors ,9.246658333,5,DeMar DeRozan
328,,Toronto Raptors ,0.437537,5,Fred VanVleet
329,,Toronto Raptors ,0.94188,5,Jakob Poeltl
330,,Toronto Raptors ,5.153558333,5,Jonas Valanciunas
331,,Toronto Raptors ,9.567901333,5,Kyle Lowry
332,,Toronto Raptors ,0.490460667,5,Norman Powell
333,,Toronto Raptors ,0.5484,5,OG Anunoby
334,,Toronto Raptors ,0.437537,5,Pascal Siakam
335,,Toronto Raptors ,6.687243,5,Serge Ibaka
336,,Cleveland Caveliers,0.5484,5,Ante Zizic
337,,Cleveland Caveliers,0.880952333,5,Cedi Osman
338,,Cleveland Caveliers,2.473637333,5,Channing Frye
339,,Cleveland Caveliers,0.705651667,5,Derrick Rose
340,,Cleveland Caveliers,5.183333333,5,Dwyane Wade
341,,Cleveland Caveliers,3.445693,5,Iman Shumpert
342,,Cleveland Caveliers,2.087131667,5,Isaiah Thomas
343,,Cleveland Caveliers,2.265372333,5,Jae Crowder
344,,Cleveland Caveliers,0.705651667,5,Jeff Green
345,,Cleveland Caveliers,0.776217333,5,Jose Calderon
346,,Cleveland Caveliers,7.54745,5,Kevin Love
347,,Cleveland Caveliers,2.333333333,5,Kyle Korver
