,rating,Unnamed: 0,Team,Type,mu,sd,name
241,-2.576153007,7001,Milwaukee Bucks,Rookie,0.66392,5,Larry Sanders
242,-2.576153007,7257,Milwaukee Bucks,Non-rookie,1.598397333,5,Luc Mbah a Moute
243,-2.576153007,7716,Milwaukee Bucks,Non-rookie,0.409751667,5,Marquis Daniels
244,-2.576153007,8140,Milwaukee Bucks,Non-rookie,1.25,5,Mike Dunleavy
245,-2.576153007,8308,Milwaukee Bucks,Non-rookie,3.666666667,5,Monta Ellis
246,-2.576153007,9891,Milwaukee Bucks,Non-rookie,2.232855,5,Samuel Dalembert
247,-2.579804905,1305,Portland Trailblazers,Non-rookie,5.453268333,5,Brandon Roy
248,-2.579804905,2441,Portland Trailblazers,Rookie,1.02168,5,Damian Lillard
249,-2.579804905,3836,Portland Trailblazers,Rookie,0.779573667,5,Eric Maynor
250,-2.579804905,5115,Portland Trailblazers,Non-rookie,0.491702,5,Jared Jeffries
251,-2.579804905,5759,Portland Trailblazers,Rookie,1.004504,5,Joel Freeland
252,-2.579804905,6890,Portland Trailblazers,Non-rookie,4.5,5,LaMarcus Aldridge
253,-2.579804905,7295,Portland Trailblazers,Rookie,0.63076,5,Luke Babbitt
254,-2.579804905,7935,Portland Trailblazers,Rookie,0.70884,5,Meyers Leonard
255,-2.579804905,8529,Portland Trailblazers,Non-rookie,3.616666667,5,Nicolas Batum
256,-2.579804905,8572,Portland Trailblazers,Rookie,0.46832,5,Nolan Smith
257,-2.579804905,9919,Portland Trailblazers,Non-rookie,0.410904333,5,Sasha Pavlovic
258,-2.579804905,11404,Portland Trailblazers,Rookie,0.433333333,5,Victor Claver
259,-2.579804905,11621,Portland Trailblazers,Rookie,2.16844,5,Wesley Matthews
260,-2.579804905,11640,Portland Trailblazers,Rookie,0.183333333,5,Will Barton
261,-4.185138368,252,Minnesota Timberwolves,Rookie,0.978203333,5,Alexey Shved
262,-4.185138368,484,Minnesota Timberwolves,Non-rookie,3.259783,5,Andrei Kirilenko
263,-4.185138368,1306,Minnesota Timberwolves,Non-rookie,5.453268333,5,Brandon Roy
264,-4.185138368,1856,Minnesota Timberwolves,Rookie,0.29504,5,Chase Budinger
265,-4.185138368,2000,Minnesota Timberwolves,Rookie,0.149099333,5,Chris Johnson
266,-4.185138368,2000,Minnesota Timberwolves,Rookie,0.149099333,5,Chris Johnson
267,-4.185138368,2642,Minnesota Timberwolves,Rookie,0.696666667,5,Dante Cunningham
268,-4.185138368,2696,Minnesota Timberwolves,Non-rookie,1.742666667,5,Darko Milicic
269,-4.185138368,3129,Minnesota Timberwolves,Rookie,1.64928,5,Derrick Williams
270,-4.185138368,4456,Minnesota Timberwolves,Rookie,0.858333333,5,Greg Stiemsma
271,-4.185138368,6123,Minnesota Timberwolves,Non-rookie,0.409751667,5,Josh Howard
272,-4.185138368,6599,Minnesota Timberwolves,Non-rookie,4.55625,5,Kevin Love
273,-4.185138368,7052,Minnesota Timberwolves,Rookie,0.026804333,5,Lazar Hayward
274,-4.185138368,7317,Minnesota Timberwolves,Non-rookie,1.333333333,5,Luke Ridnour
275,-4.185138368,7381,Minnesota Timberwolves,Rookie,0.254065,5,Malcolm Lee
276,-4.185138368,7744,Minnesota Timberwolves,Non-rookie,0.533333333,5,Martell Webster
277,-4.185138368,8089,Minnesota Timberwolves,Non-rookie,0.149099333,5,Mickael Gelabale
278,-4.185138368,8552,Minnesota Timberwolves,Rookie,1.6124,5,Nikola Pekovic
279,-4.185138368,9406,Minnesota Timberwolves,Rookie,1.24704,5,Ricky Rubio
280,-4.185138368,11657,Minnesota Timberwolves,Non-rookie,0.028479667,5,Will Conroy
281,-5.157090264,501,Golden State Warriors,Non-rookie,4.333333333,5,Andrew Bogut
282,-5.157090264,559,Golden State Warriors,Non-rookie,3,5,Andris Biedrins
283,-5.157090264,1312,Golden State Warriors,Non-rookie,1.333333333,5,Brandon Rush
284,-5.157090264,1646,Golden State Warriors,Non-rookie,1.333333333,5,Carl Landry
285,-5.157090264,2795,Golden State Warriors,Non-rookie,4.248,5,David Lee
286,-5.157090264,3480,Golden State Warriors,Rookie,0.283333333,5,Draymond Green
287,-5.157090264,4025,Golden State Warriors,Rookie,0.34032,5,Festus Ezeli
