,Team,rating,Type,mu,sd,name
420,Orlando Magic,-5.4976070560000005,Non-rookie,3.5,5,Terrence Ross
422,Orlando Magic,-5.4976070560000005,Non-rookie,0.49046066666666666,5,Marreese Speights
423,Orlando Magic,-5.4976070560000005,Non-rookie,4.083333333333333,5,Nikola Vucevic
424,Brooklyn Nets,-5.629013734,Non-rookie,0.569846,5,Quincy Acy
426,Brooklyn Nets,-5.629013734,Non-rookie,4.933333333333334,5,DeMarre Carroll
427,Brooklyn Nets,-5.629013734,Non-rookie,6.444166666666667,5,Allen Crabbe
428,Brooklyn Nets,-5.629013734,Non-rookie,0.7666666666666667,5,Dante Cunningham
433,Brooklyn Nets,-5.629013734,Non-rookie,4.0,5,Jeremy Lin
434,Brooklyn Nets,-5.629013734,Non-rookie,5.093333333333334,5,Timofey Mozgov
439,Portland Trailblazers,,Non-rookie,2.439678333333333,5,Al-Farouq Aminu
442,Portland Trailblazers,,Non-rookie,2.117510333333333,5,Ed Davis
443,Portland Trailblazers,,Non-rookie,3.3876406666666665,5,Maurice Harkless
445,Portland Trailblazers,,Non-rookie,3.3014983333333334,5,Meyers Leonard
446,Portland Trailblazers,,Non-rookie,8.717685666666666,5,Damian Lillard
447,Portland Trailblazers,,Non-rookie,7.987524333333333,5,CJ McCollum
451,Portland Trailblazers,,Non-rookie,5.710382666666667,5,Evan Turner
453,Toronto Raptors,,Non-rookie,9.246658333333333,5,DeMar DeRozan
455,Toronto Raptors,,Non-rookie,6.687243,5,Serge Ibaka
456,Toronto Raptors,,Non-rookie,9.567901333333333,5,Kyle Lowry
463,Toronto Raptors,,Non-rookie,5.153558333333334,5,Jonas Valanciunas
