"X","Unnamed..0","rating","Team","mu","sd","name","Contract.Value","Year","Type","coefs","index","player_id","player_name","finalpriors","finalse"
120,303,2.742011328,"New York Knicks",0.033333333,5,"Marshall Plumlee","$100,000.00 ",2017,"Rookie",0.340257401,421,1627850,"Marshall Plumlee",-0.856545272550927,0.364844063194886
121,305,2.742011328,"New York Knicks",1.008345,5,"Mindaugas Kuzminskas","$3,025,035.00 ",2017,"Rookie",0,535,1627851,"Mindaugas Kuzminskas",-0.142481141720155,0.325858743061043
122,306,2.742011328,"New York Knicks",0.016666667,5,"Nigel Hayes","$50,000.00 ",2017,"Rookie",3.10935732,9,1628502,"Nigel Hayes",-0.868751350461517,0.367147834196648
123,308,2.742011328,"New York Knicks",1.442666667,5,"Ron Baker","$4,328,000.00 ",2017,"Rookie",7.869608164,286,1627758,"Ron Baker",0.175600717342693,0.373624450968975
124,309,2.742011328,"New York Knicks",0.478583333,5,"Willy Hernangomez","$1,435,750.00 ",2017,"Rookie",4.096499631,341,1626195,"Willy Hernangomez",-0.530459888126085,0.321429836427316
125,311,5.629013734,"Brooklyn Nets",0.54416,5,"Caris LeVert","$1,632,480.00 ",2017,"Rookie",-0.006510134,97,1627747,"Caris LeVert",-0.648178935150788,0.441474974028172
126,313,5.629013734,"Brooklyn Nets",0.437537,5,"Isaiah Whitehead","$1,312,611.00 ",2017,"Rookie",3.398689007,206,1627785,"Isaiah Whitehead",-0.726265856977919,0.444584436872368
127,314,5.629013734,"Brooklyn Nets",0.57124,5,"Jarrett Allen","$1,713,720.00 ",2017,"Rookie",-1.098824715,96,1628386,"Jarrett Allen",-0.628346498968363,0.440986372962319
128,316,5.629013734,"Brooklyn Nets",0.508101667,5,"Joe Harris","$1,524,305.00 ",2017,"Rookie",3.790127499,457,203925,"Joe Harris",-0.674586785522543,0.442315681798161
129,318,5.629013734,"Brooklyn Nets",0.490460667,5,"Rondae Hollis-Jefferson","$1,471,382.00 ",2017,"Rookie",-4.34758892,95,1626178,"Rondae Hollis-Jefferson",-0.687506431264572,0.44280575943444
130,319,5.629013734,"Brooklyn Nets",0.508101667,5,"Sean Kilpatrick","$1,524,305.00 ",2017,"Rookie",-6.862210295,263,203930,"Sean Kilpatrick",-0.674586785522543,0.442315681798161
131,320,5.629013734,"Brooklyn Nets",0.508101667,5,"Spencer Dinwiddie","$1,524,305.00 ",2017,"Rookie",3.78982172,186,203915,"Spencer Dinwiddie",-0.674586785522543,0.442315681798161
132,324,5.497607056,"Orlando Magic",1.834806667,5,"Aaron Gordon","$5,504,420.00 ",2017,"Rookie",0.85435065,409,203932,"Aaron Gordon",0.304589289948781,0.538027584355585
133,329,5.497607056,"Orlando Magic",1.11078,5,"Elfrid Payton","$3,332,340.00 ",2017,"Rookie",-2.892584785,114,203901,"Elfrid Payton",-0.225662285666114,0.450455495290432
134,331,5.497607056,"Orlando Magic",1.39544,5,"Jonathan Isaac","$4,186,320.00 ",2017,"Rookie",1.537837599,240,1628371,"Jonathan Isaac",-0.0171873490453942,0.47714349575971
135,333,5.497607056,"Orlando Magic",0.271871667,5,"Khem Birch","$815,615.00 ",2017,"Rookie",6.003096987,155,203920,"Khem Birch",-0.840049138588087,0.447072588054986
136,334,5.497607056,"Orlando Magic",1.35944,5,"Mario Hezonja","$4,078,320.00 ",2017,"Rookie",-3.098943814,115,1626209,"Mario Hezonja",-0.043552478386875,0.473150178617201
137,339,-1.934503325,"Memphis Grizzlies",0.437537,5,"Andrew Harrison","$1,312,611.00 ",2017,"Rookie",-3.223791935,23,1626150,"Andrew Harrison",-0.292038381912961,0.273251051062663
138,343,-1.934503325,"Memphis Grizzlies",0.437537,5,"Deyonta Davis","$1,312,611.00 ",2017,"Rookie",-1.584357429,377,1627738,"Deyonta Davis",-0.292038381912961,0.273251051062663
