,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[496],-0.004,1.078,-1.952,2.037,0.018,0.029,3738.0,1246.0,1.0
x[497],-0.548,1.355,-3.265,1.782,0.024,0.029,3285.0,1393.0,1.01
x[498],1.395,1.466,-1.38,4.102,0.026,0.031,3187.0,1019.0,1.0
x[499],0.508,1.462,-2.277,3.194,0.026,0.034,3200.0,1458.0,1.0
x[500],0.718,1.432,-1.956,3.435,0.023,0.036,3861.0,1225.0,1.01
x[501],-1.378,1.359,-3.698,1.298,0.024,0.025,3187.0,1063.0,1.0
x[502],-0.681,1.437,-3.256,2.065,0.026,0.03,3003.0,1351.0,1.0
x[503],2.118,1.345,-0.443,4.499,0.023,0.024,3500.0,1157.0,1.0
x[504],-0.338,2.924,-5.649,5.093,0.044,0.067,4438.0,1669.0,1.0
x[505],0.88,1.228,-1.449,3.034,0.022,0.022,3256.0,1322.0,1.0
x[506],0.035,1.659,-2.97,3.319,0.028,0.048,3555.0,1133.0,1.0
x[507],-2.2,3.642,-9.236,4.693,0.068,0.084,2829.0,1330.0,1.0
x[508],-0.292,1.231,-2.411,2.139,0.021,0.03,3561.0,1341.0,1.0
x[509],0.163,1.106,-1.977,2.241,0.018,0.027,3616.0,1141.0,1.0
x[510],-0.77,1.217,-2.942,1.628,0.02,0.027,3851.0,1159.0,1.0
x[511],-0.238,1.686,-3.24,3.002,0.028,0.044,3729.0,1332.0,1.0
x[512],-0.152,1.555,-2.951,2.802,0.027,0.038,3219.0,1510.0,1.0
x[513],-0.303,1.834,-3.694,3.271,0.033,0.046,3168.0,1196.0,1.0
x[514],-0.391,1.04,-2.298,1.654,0.016,0.029,4365.0,1064.0,1.0
x[515],2.258,2.808,-2.886,7.557,0.047,0.053,3507.0,1250.0,1.0
x[516],-1.196,1.666,-4.218,2.06,0.027,0.039,3788.0,1134.0,1.0
x[517],-0.198,1.629,-3.095,2.962,0.026,0.05,3821.0,1404.0,1.0
x[518],0.087,1.641,-2.893,3.216,0.026,0.043,4034.0,1438.0,1.0
x[519],-0.043,1.675,-3.09,3.318,0.026,0.044,4043.0,1251.0,1.0
x[520],0.137,1.67,-3.079,3.14,0.028,0.048,3482.0,1198.0,1.0
x[521],0.041,1.624,-3.021,3.02,0.028,0.045,3399.0,1003.0,1.0
x[522],-0.029,1.702,-3.158,3.114,0.031,0.051,2958.0,894.0,1.0
x[523],-0.037,1.577,-2.987,2.897,0.026,0.042,3764.0,1336.0,1.0
x[524],0.074,1.608,-3.047,2.946,0.026,0.04,3833.0,1459.0,1.0
x[525],0.038,1.56,-2.856,3.038,0.027,0.041,3304.0,1239.0,1.0
x[526],0.045,1.59,-2.899,2.963,0.028,0.043,3169.0,1367.0,1.0
x[527],0.05,1.653,-3.186,3.103,0.035,0.052,2303.0,865.0,1.0
x[528],-0.017,1.636,-3.112,3.012,0.028,0.045,3300.0,1180.0,1.0
sigma,78.113,0.298,77.539,78.653,0.005,0.003,3808.0,1130.0,1.0
