,Team,rating,Type,mu,sd,name
412,Orlando Magic,-5.4976070560000005,Rookie,0.2718716666666667,5,Khem Birch
415,Orlando Magic,-5.4976070560000005,Rookie,1.8348066666666667,5,Aaron Gordon
416,Orlando Magic,-5.4976070560000005,Rookie,1.35944,5,Mario Hezonja
417,Orlando Magic,-5.4976070560000005,Rookie,1.39544,5,Jonathan Isaac
419,Orlando Magic,-5.4976070560000005,Rookie,0.05376,5,Rodney Purvis
421,Orlando Magic,-5.4976070560000005,Rookie,2.1,5,Jonathon Simmons
425,Brooklyn Nets,-5.629013734,Rookie,0.57124,5,Jarrett Allen
429,Brooklyn Nets,-5.629013734,Rookie,0.5081016666666667,5,Spencer Dinwiddie
430,Brooklyn Nets,-5.629013734,Rookie,0.5081016666666667,5,Joe Harris
431,Brooklyn Nets,-5.629013734,Rookie,0.49046066666666666,5,Rondae Hollis-Jefferson
432,Brooklyn Nets,-5.629013734,Rookie,0.54416,5,Caris LeVert
435,Brooklyn Nets,-5.629013734,Rookie,1.66504,5,Jahlil Okafor
436,Brooklyn Nets,-5.629013734,Rookie,1.85412,5,D'Angelo Russell
437,Brooklyn Nets,-5.629013734,Rookie,1.269049,5,Nik Stauskas
438,Brooklyn Nets,-5.629013734,Rookie,0.437537,5,Isaiah Whitehead
440,Portland Trailblazers,,Rookie,1.01908,5,Zach Collins
441,Portland Trailblazers,,Rookie,0.49046066666666666,5,Pat Connaughton
444,Portland Trailblazers,,Rookie,0.437537,5,Jake Layman
448,Portland Trailblazers,,Rookie,0.78712,5,Shabazz Napier
449,Portland Trailblazers,,Rookie,0.982435,5,Jusuf Nurkic
450,Portland Trailblazers,,Rookie,0.48864,5,Caleb Swanigan
452,Toronto Raptors,,Rookie,0.5484,5,OG Anunoby
454,Toronto Raptors,,Rookie,0.03072,5,Nigel Hayes
457,Toronto Raptors,,Rookie,0.2718716666666667,5,Alfonzo McKinnie
458,Toronto Raptors,,Rookie,0.982435,5,Lucas Nogueira
459,Toronto Raptors,,Rookie,0.94188,5,Jakob Poeltl
460,Toronto Raptors,,Rookie,0.49046066666666666,5,Norman Powell
461,Toronto Raptors,,Rookie,0.50152,5,Malachi Richardson
462,Toronto Raptors,,Rookie,0.437537,5,Pascal Siakam
464,Toronto Raptors,,Rookie,0.437537,5,Fred VanVleet
465,Toronto Raptors,,Rookie,0.5484,5,Delon Wright
