X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
86,222,1.904907009,Miami Heat,0.490460667,5,Jordan Mickey,"$1,471,382.00 ",2017,Rookie,-2.42647485,516,1626175,Jordan Mickey
87,223,1.904907009,Miami Heat,0.490460667,5,Josh Richardson,"$1,471,382.00 ",2017,Rookie,2.864861853,351,1626196,Josh Richardson
88,224,1.904907009,Miami Heat,0.90168,5,Justise Winslow,"$2,705,040.00 ",2017,Rookie,-1.645799774,221,1626159,Justise Winslow
89,226,1.904907009,Miami Heat,0.437537,5,Okaro White,"$1,312,611.00 ",2017,Rookie,-1.033198038,390,1627855,Okaro White
90,227,1.904907009,Miami Heat,0.437537,5,Rodney McGruder,"$1,312,611.00 ",2017,Rookie,0.323404655,218,203585,Rodney McGruder
91,231,0.860694254,Milwaukee Bucks,0.71168,5,D.J. Wilson,"$2,135,040.00 ",2017,Rookie,-5.040875024,304,1628391,D.J. Wilson
92,240,0.860694254,Milwaukee Bucks,0.437537,5,Malcolm Brogdon,"$1,312,611.00 ",2017,Rookie,-0.457327765,452,1627763,Malcolm Brogdon
93,243,0.860694254,Milwaukee Bucks,0.62968,5,Rashad Vaughn,"$1,889,040.00 ",2017,Rookie,-6.959130367,362,1626173,Rashad Vaughn
94,244,0.860694254,Milwaukee Bucks,0.271871667,5,Sterling Brown,"$815,615.00 ",2017,Rookie,-1.625686266,174,1628425,Sterling Brown
95,245,0.860694254,Milwaukee Bucks,0.89472,5,Thon Maker,"$2,684,160.00 ",2017,Rookie,-1.473464369,26,1627748,Thon Maker
96,252,-0.16488799,Detroit Pistons,0.579777667,5,Eric Moreland,"$1,739,333.00 ",2017,Rookie,-2.453173261,178,203961,Eric Moreland
97,253,-0.16488799,Detroit Pistons,0.5936,5,Henry Ellenson,"$1,780,800.00 ",2017,Rookie,-1.337777145,451,1627740,Henry Ellenson
98,259,-0.16488799,Detroit Pistons,0.91976,5,Luke Kennard,"$2,759,280.00 ",2017,Rookie,3.69935974,205,1628379,Luke Kennard
99,262,-0.16488799,Detroit Pistons,1.0326,5,Stanley Johnson,"$3,097,800.00 ",2017,Rookie,-1.34284732,328,1626169,Stanley Johnson
100,265,-5.179052184,Los Angeles Lakers,1.8398,5,Brandon Ingram,"$5,519,400.00 ",2017,Rookie,2.11931737,473,1627742,Brandon Ingram
101,266,-5.179052184,Los Angeles Lakers,0.016666667,5,Briante Weber,"$50,000.00 ",2017,Rookie,0.211006357,244,1627362,Briante Weber
102,269,-5.179052184,Los Angeles Lakers,0.437537,5,Ivica Zubac,"$1,312,611.00 ",2017,Rookie,-1.113048166,261,1627826,Ivica Zubac
103,271,-5.179052184,Los Angeles Lakers,0.46484,5,Josh Hart,"$1,394,520.00 ",2017,Rookie,1.77766154,302,1628404,Josh Hart
104,272,-5.179052184,Los Angeles Lakers,1.383080667,5,Julius Randle,"$4,149,242.00 ",2017,Rookie,3.204982907,47,203944,Julius Randle
105,274,-5.179052184,Los Angeles Lakers,0.47452,5,Kyle Kuzma,"$1,423,560.00 ",2017,Rookie,-2.095265356,48,1628398,Kyle Kuzma
106,277,-5.179052184,Los Angeles Lakers,0.271871667,5,Thomas Bryant,"$815,615.00 ",2017,Rookie,-1.220694852,215,1628418,Thomas Bryant
107,278,-5.179052184,Los Angeles Lakers,0.508101667,5,Tyler Ennis,"$1,524,305.00 ",2017,Rookie,2.550984556,317,203898,Tyler Ennis
108,279,-5.179052184,Los Angeles Lakers,0.016666667,5,Vander Blue,"$50,000.00 ",2017,Rookie,0,395,203505,Vander Blue
155,275,-5.179052184,Los Angeles Lakers,2.09552,5,Lonzo Ball,"$6,286,560.00 ",2017,Rookie,1.867431783,49,1628366,Lonzo Ball
109,282,-1.412858355,Dallas Mavericks,0.437537,5,Dorian Finney-Smith,"$1,312,611.00 ",2017,Rookie,-0.262328915,388,1627827,Dorian Finney-Smith
110,284,-1.412858355,Dallas Mavericks,0.016666667,5,Gian Clavell,"$50,000.00 ",2017,Rookie,1.546268806,283,1628492,Gian Clavell
111,286,-1.412858355,Dallas Mavericks,1.3013,5,J.J. Barea,"$3,903,900.00 ",2017,Rookie,0.586407511,368,200826,J.J. Barea
112,287,-1.412858355,Dallas Mavericks,0.525773333,5,Jeff Withey,"$1,577,320.00 ",2017,Rookie,1.784170758,526,203481,Jeff Withey
113,289,-1.412858355,Dallas Mavericks,0.271871667,5,Maxi Kleber,"$815,615.00 ",2017,Rookie,-3.256273159,329,1628467,Maxi Kleber
114,291,-1.412858355,Dallas Mavericks,0.490460667,5,Salah Mejri,"$1,471,382.00 ",2017,Rookie,-2.500454056,336,1626257,Salah Mejri
115,293,-1.412858355,Dallas Mavericks,0.437537,5,Yogi Ferrell,"$1,312,611.00 ",2017,Rookie,3.391779043,152,1627812,Yogi Ferrell
116,295,-2.742011328,New York Knicks,0.366666667,5,Damyean Dotson,"$1,100,000.00 ",2017,Rookie,-4.58594244,197,1628422,Damyean Dotson
117,296,-2.742011328,New York Knicks,1.098331333,5,Doug McDermott,"$3,294,994.00 ",2017,Rookie,4.760490287,478,203926,Doug McDermott
118,298,-2.742011328,New York Knicks,1.16704,5,Frank Ntilikina,"$3,501,120.00 ",2017,Rookie,-0.708732427,414,1628373,Frank Ntilikina
119,301,-2.742011328,New York Knicks,1.5012,5,Kristaps Porzingis,"$4,503,600.00 ",2017,Rookie,3.81078354,86,204001,Kristaps Porzingis
120,303,-2.742011328,New York Knicks,0.033333333,5,Marshall Plumlee,"$100,000.00 ",2017,Rookie,0.340257401,421,1627850,Marshall Plumlee
121,305,-2.742011328,New York Knicks,1.008345,5,Mindaugas Kuzminskas,"$3,025,035.00 ",2017,Rookie,0,535,1627851,Mindaugas Kuzminskas
122,306,-2.742011328,New York Knicks,0.016666667,5,Nigel Hayes,"$50,000.00 ",2017,Rookie,3.10935732,9,1628502,Nigel Hayes
123,308,-2.742011328,New York Knicks,1.442666667,5,Ron Baker,"$4,328,000.00 ",2017,Rookie,7.869608164,286,1627758,Ron Baker
124,309,-2.742011328,New York Knicks,0.478583333,5,Willy Hernangomez,"$1,435,750.00 ",2017,Rookie,4.096499631,341,1626195,Willy Hernangomez
125,311,-5.629013734,Brooklyn Nets,0.54416,5,Caris LeVert,"$1,632,480.00 ",2017,Rookie,-0.006510134,97,1627747,Caris LeVert
126,313,-5.629013734,Brooklyn Nets,0.437537,5,Isaiah Whitehead,"$1,312,611.00 ",2017,Rookie,3.398689007,206,1627785,Isaiah Whitehead
127,314,-5.629013734,Brooklyn Nets,0.57124,5,Jarrett Allen,"$1,713,720.00 ",2017,Rookie,-1.098824715,96,1628386,Jarrett Allen
128,316,-5.629013734,Brooklyn Nets,0.508101667,5,Joe Harris,"$1,524,305.00 ",2017,Rookie,3.790127499,457,203925,Joe Harris
129,318,-5.629013734,Brooklyn Nets,0.490460667,5,Rondae Hollis-Jefferson,"$1,471,382.00 ",2017,Rookie,-4.34758892,95,1626178,Rondae Hollis-Jefferson
130,319,-5.629013734,Brooklyn Nets,0.508101667,5,Sean Kilpatrick,"$1,524,305.00 ",2017,Rookie,-6.862210295,263,203930,Sean Kilpatrick
131,320,-5.629013734,Brooklyn Nets,0.508101667,5,Spencer Dinwiddie,"$1,524,305.00 ",2017,Rookie,3.78982172,186,203915,Spencer Dinwiddie
132,324,-5.497607056,Orlando Magic,1.834806667,5,Aaron Gordon,"$5,504,420.00 ",2017,Rookie,0.85435065,409,203932,Aaron Gordon
133,329,-5.497607056,Orlando Magic,1.11078,5,Elfrid Payton,"$3,332,340.00 ",2017,Rookie,-2.892584785,114,203901,Elfrid Payton
134,331,-5.497607056,Orlando Magic,1.39544,5,Jonathan Isaac,"$4,186,320.00 ",2017,Rookie,1.537837599,240,1628371,Jonathan Isaac
135,333,-5.497607056,Orlando Magic,0.271871667,5,Khem Birch,"$815,615.00 ",2017,Rookie,6.003096987,155,203920,Khem Birch
136,334,-5.497607056,Orlando Magic,1.35944,5,Mario Hezonja,"$4,078,320.00 ",2017,Rookie,-3.098943814,115,1626209,Mario Hezonja
137,339,1.934503325,Memphis Grizzlies,0.437537,5,Andrew Harrison,"$1,312,611.00 ",2017,Rookie,-3.223791935,23,1626150,Andrew Harrison
138,343,1.934503325,Memphis Grizzlies,0.437537,5,Deyonta Davis,"$1,312,611.00 ",2017,Rookie,-1.584357429,377,1627738,Deyonta Davis
139,344,1.934503325,Memphis Grizzlies,0.271871667,5,Dillon Brooks,"$815,615.00 ",2017,Rookie,0.056648113,501,1628415,Dillon Brooks
140,345,1.934503325,Memphis Grizzlies,0.316666667,5,Ivan Rabb,"$950,000.00 ",2017,Rookie,1.428614015,163,1628397,Ivan Rabb
141,347,1.934503325,Memphis Grizzlies,0.490460667,5,Jarell Martin,"$1,471,382.00 ",2017,Rookie,0.279654937,22,1626185,Jarell Martin
142,352,1.934503325,Memphis Grizzlies,0.437537,5,Wayne Selden,"$1,312,611.00 ",2017,Rookie,-2.535287835,105,1627782,Wayne Selden
143,358,-2.167864662,Sacramento Kings,1.22516,5,Buddy Hield,"$3,675,480.00 ",2017,Rookie,-5.90116516,470,1627741,Buddy Hield
144,359,-2.167864662,Sacramento Kings,0.394795,5,Frank Mason,"$1,184,385.00 ",2017,Rookie,1.663648744,437,1628412,Frank Mason
