,rating,Team,mu,sd,name,Contract Value,Year,Type
309,1.767519876,New York Knicks,0.478583333,5,Willy Hernangomez,"$1,435,750.00 ",2017,Rookie
311,1.628278788,Brooklyn Nets,0.54416,5,Caris LeVert,"$1,632,480.00 ",2017,Rookie
313,1.628278788,Brooklyn Nets,0.437537,5,Isaiah Whitehead,"$1,312,611.00 ",2017,Rookie
314,1.628278788,Brooklyn Nets,0.57124,5,Jarrett Allen,"$1,713,720.00 ",2017,Rookie
316,1.628278788,Brooklyn Nets,0.508101667,5,Joe Harris,"$1,524,305.00 ",2017,Rookie
318,1.628278788,Brooklyn Nets,0.490460667,5,Rondae Hollis-Jefferson,"$1,471,382.00 ",2017,Rookie
319,1.628278788,Brooklyn Nets,0.508101667,5,Sean Kilpatrick,"$1,524,305.00 ",2017,Rookie
320,1.628278788,Brooklyn Nets,0.508101667,5,Spencer Dinwiddie,"$1,524,305.00 ",2017,Rookie
324,0.394281214,Orlando Magic,1.834806667,5,Aaron Gordon,"$5,504,420.00 ",2017,Rookie
329,0.394281214,Orlando Magic,1.11078,5,Elfrid Payton,"$3,332,340.00 ",2017,Rookie
331,0.394281214,Orlando Magic,1.39544,5,Jonathan Isaac,"$4,186,320.00 ",2017,Rookie
333,0.394281214,Orlando Magic,0.271871667,5,Khem Birch,"$815,615.00 ",2017,Rookie
334,0.394281214,Orlando Magic,1.35944,5,Mario Hezonja,"$4,078,320.00 ",2017,Rookie
339,-0.49881092,Memphis Grizzlies,0.437537,5,Andrew Harrison,"$1,312,611.00 ",2017,Rookie
343,-0.49881092,Memphis Grizzlies,0.437537,5,Deyonta Davis,"$1,312,611.00 ",2017,Rookie
344,-0.49881092,Memphis Grizzlies,0.271871667,5,Dillon Brooks,"$815,615.00 ",2017,Rookie
345,-0.49881092,Memphis Grizzlies,0.316666667,5,Ivan Rabb,"$950,000.00 ",2017,Rookie
347,-0.49881092,Memphis Grizzlies,0.490460667,5,Jarell Martin,"$1,471,382.00 ",2017,Rookie
352,-0.49881092,Memphis Grizzlies,0.437537,5,Wayne Selden,"$1,312,611.00 ",2017,Rookie
