,Name,Team,Season,Salary,Type
816,Matt Barnes,Memphis Grizzlies,2015,3542500,Non-rookie
817,Matt Barnes,Sacramento Kings,2016,6125000,Non-rookie
818,Matt Barnes,Golden State Warriors,2016,383351,Non-rookie
819,Matt Barnes,Sacramento Kings,2017,2133542,Non-rookie
837,Earl Barron,Phoenix Suns,2010,188558,Non-rookie
838,Earl Barron,Golden State Warriors,2011,185588,Non-rookie
839,Earl Barron,Washington Wizards,2012,358600,Non-rookie
840,Earl Barron,Phoenix Suns,2014,107676,Non-rookie
872,Will Barton,Portland Trail Blazers,2012,550000,Rookie
873,Will Barton,Portland Trail Blazers,2013,788872,Rookie
874,Will Barton,Denver Nuggets,2014,915243,Rookie
875,Will Barton,Denver Nuggets,2015,3333333,Rookie
876,Will Barton,Denver Nuggets,2016,3533333,Non-rookie
877,Will Barton,Denver Nuggets,2017,3533333,Non-rookie
884,Brandon Bass,Orlando Magic,2010,4000000,Non-rookie
885,Brandon Bass,Boston Celtics,2011,4250000,Non-rookie
886,Brandon Bass,Boston Celtics,2012,6000000,Non-rookie
887,Brandon Bass,Boston Celtics,2013,6450000,Non-rookie
888,Brandon Bass,Boston Celtics,2014,6900000,Non-rookie
889,Brandon Bass,Los Angeles Lakers,2015,3000000,Non-rookie
890,Brandon Bass,Los Angeles Clippers,2016,1551659,Non-rookie
910,Shane Battier,Memphis Grizzlies,2010,7354500,Non-rookie
911,Shane Battier,Miami Heat,2011,3000000,Non-rookie
912,Shane Battier,Miami Heat,2012,3135000,Non-rookie
913,Shane Battier,Miami Heat,2013,3270000,Non-rookie
927,Tony Battie,Philadelphia 76ers,2010,1352181,Non-rookie
928,Tony Battie,Philadelphia 76ers,2011,1352181,Non-rookie
941,Nicolas Batum,Portland Trail Blazers,2010,1196760,Rookie
942,Nicolas Batum,Portland Trail Blazers,2011,2155365,Rookie
943,Nicolas Batum,Portland Trail Blazers,2012,10850000,Non-rookie
944,Nicolas Batum,Portland Trail Blazers,2013,11295250,Non-rookie
945,Nicolas Batum,Portland Trail Blazers,2014,11765500,Non-rookie
946,Nicolas Batum,Charlotte Hornets,2015,12235750,Non-rookie
947,Nicolas Batum,Charlotte Hornets,2016,20869566,Non-rookie
948,Nicolas Batum,Charlotte Hornets,2017,22434783,Non-rookie
955,Jerryd Bayless,Toronto Raptors,2010,2292600,Rookie
956,Jerryd Bayless,Toronto Raptors,2011,3042280,Rookie
957,Jerryd Bayless,Memphis Grizzlies,2012,3000000,Non-rookie
958,Jerryd Bayless,Memphis Grizzlies,2013,3135000,Non-rookie
959,Jerryd Bayless,Milwaukee Bucks,2014,3000000,Non-rookie
960,Jerryd Bayless,Milwaukee Bucks,2015,3000000,Non-rookie
961,Jerryd Bayless,Philadelphia 76ers,2016,9424084,Non-rookie
962,Jerryd Bayless,Philadelphia 76ers,2017,9000000,Non-rookie
963,Aron Baynes,San Antonio Spurs,2012,401170,Rookie
964,Aron Baynes,San Antonio Spurs,2013,788872,Rookie
965,Aron Baynes,San Antonio Spurs,2014,2077000,Rookie
966,Aron Baynes,Detroit Pistons,2015,6500000,Rookie
967,Aron Baynes,Detroit Pistons,2016,6500000,Non-rookie
968,Aron Baynes,Boston Celtics,2017,4328000,Non-rookie
970,Kent Bazemore,Golden State Warriors,2012,473604,Rookie
971,Kent Bazemore,Golden State Warriors,2013,788872,Rookie
972,Kent Bazemore,Atlanta Hawks,2014,2000000,Rookie
973,Kent Bazemore,Atlanta Hawks,2015,2000000,Rookie
974,Kent Bazemore,Atlanta Hawks,2016,15730338,Non-rookie
975,Kent Bazemore,Atlanta Hawks,2017,16910113,Non-rookie
976,Bradley Beal,Washington Wizards,2012,4133280,Rookie
977,Bradley Beal,Washington Wizards,2013,4319280,Rookie
978,Bradley Beal,Washington Wizards,2014,4505280,Rookie
979,Bradley Beal,Washington Wizards,2015,5694674,Rookie
980,Bradley Beal,Washington Wizards,2016,22116750,Non-rookie
981,Bradley Beal,Washington Wizards,2017,23775506,Non-rookie
984,Malik Beasley,Denver Nuggets,2016,1627320,Rookie
985,Malik Beasley,Denver Nuggets,2017,1700640,Rookie
988,Michael Beasley,Minnesota Timberwolves,2010,4962240,Rookie
989,Michael Beasley,Minnesota Timberwolves,2011,6262347,Rookie
990,Michael Beasley,Phoenix Suns,2012,5750000,Non-rookie
991,Michael Beasley,Phoenix Suns,2013,4666667,Non-rookie
992,Michael Beasley,Miami Heat,2013,1027424,Non-rookie
993,Michael Beasley,Phoenix Suns,2014,777778,Non-rookie
994,Michael Beasley,Miami Heat,2014,330226,Non-rookie
995,Michael Beasley,Houston Rockets,2015,306527,Non-rookie
996,Michael Beasley,Milwaukee Bucks,2016,1403611,Non-rookie
997,Michael Beasley,Phoenix Suns,2016,777777,Non-rookie
998,Michael Beasley,New York Knicks,2017,1471382,Non-rookie
1000,Rodrigue Beaubois,Dallas Mavericks,2010,1156080,Rookie
1001,Rodrigue Beaubois,Dallas Mavericks,2011,1236720,Rookie
1002,Rodrigue Beaubois,Dallas Mavericks,2012,2227333,Rookie
1013,Marco Belinelli,New Orleans Hornets,2010,2380270,Rookie
1014,Marco Belinelli,New Orleans Hornets,2011,3377604,Non-rookie
1015,Marco Belinelli,Chicago Bulls,2012,1957000,Non-rookie
1016,Marco Belinelli,San Antonio Spurs,2013,2750000,Non-rookie
1017,Marco Belinelli,San Antonio Spurs,2014,2873750,Non-rookie
1018,Marco Belinelli,Sacramento Kings,2015,6333333,Non-rookie
1019,Marco Belinelli,Charlotte Hornets,2016,6333333,Non-rookie
1020,Marco Belinelli,Atlanta Hawks,2017,6306060,Non-rookie
1021,Marco Belinelli,Philadelphia 76ers,2017,776217,Non-rookie
1028,Charlie Bell,Golden State Warriors,2010,4447792,Non-rookie
1029,Charlie Bell,Golden State Warriors,2011,4099920,Non-rookie
1030,Jordan Bell,Golden State Warriors,2017,815615,Rookie
1040,Raja Bell,Utah Jazz,2010,3000000,Non-rookie
1041,Raja Bell,Utah Jazz,2011,3240000,Non-rookie
1042,Raja Bell,Utah Jazz,2012,3480000,Non-rookie
1046,DeAndre' Bembry,Atlanta Hawks,2016,1499760,Rookie
1047,DeAndre' Bembry,Atlanta Hawks,2017,1567200,Rookie
1048,Dragan Bender,Phoenix Suns,2016,4276320,Rookie
1049,Dragan Bender,Phoenix Suns,2017,4468800,Rookie
1058,Jerrelle Benimon,Denver Nuggets,2014,35000,Rookie
1059,Jerrelle Benimon,Utah Jazz,2014,29843,Rookie
1074,Anthony Bennett,Cleveland Cavaliers,2013,5324280,Rookie
1075,Anthony Bennett,Minnesota Timberwolves,2014,5563920,Rookie
1076,Anthony Bennett,Minnesota Timberwolves,2015,3650000,Rookie
1077,Anthony Bennett,Toronto Raptors,2015,947276,Rookie
1078,Anthony Bennett,Brooklyn Nets,2016,1015696,Rookie
1100,Keith Benson,Miami Heat,2016,75000,Rookie
1101,Ben Bentil,Boston Celtics,2016,250000,Rookie
1102,Ben Bentil,Indiana Pacers,2016,50000,Rookie
1103,Ben Bentil,Dallas Mavericks,2016,31969,Rookie
1107,Davis Bertans,San Antonio Spurs,2016,543471,Rookie
1108,Davis Bertans,San Antonio Spurs,2017,1312611,Rookie
1119,Patrick Beverley,Houston Rockets,2012,281377,Rookie
1120,Patrick Beverley,Houston Rockets,2013,788872,Rookie
1121,Patrick Beverley,Houston Rockets,2014,915243,Rookie
1122,Patrick Beverley,Houston Rockets,2015,6500000,Rookie
1123,Patrick Beverley,Houston Rockets,2016,6000000,Non-rookie
1124,Patrick Beverley,Los Angeles Clippers,2017,5513514,Non-rookie
1125,Sim Bhullar,Sacramento Kings,2014,29843,Rookie
1138,Mike Bibby,Washington Wizards,2010,5564767,Non-rookie
1139,Mike Bibby,New York Knicks,2011,1352181,Non-rookie
1146,Andris Biedrins,Golden State Warriors,2010,9000000,Non-rookie
1147,Andris Biedrins,Golden State Warriors,2011,9000000,Non-rookie
1148,Andris Biedrins,Golden State Warriors,2012,9000000,Non-rookie
1149,Andris Biedrins,Utah Jazz,2013,9000000,Non-rookie
1163,Chauncey Billups,New York Knicks,2010,13150000,Non-rookie
1164,Chauncey Billups,New York Knicks,2011,12199968,Non-rookie
1165,Chauncey Billups,Los Angeles Clippers,2011,2000032,Non-rookie
1166,Chauncey Billups,Los Angeles Clippers,2012,4000000,Non-rookie
1167,Chauncey Billups,Detroit Pistons,2013,2500000,Non-rookie
1168,Khem Birch,Miami Heat,2014,50000,Rookie
1169,Khem Birch,Orlando Magic,2017,815615,Rookie
