,rating,Team,Name,mu,sd
251,5.107920036,Milwaukee Bucks,Nikola Mirotic,4.166666666666667,5
252,5.107920036,Milwaukee Bucks,Tony Snell,3.602381,5
253,5.107920036,Milwaukee Bucks,Ersan Ilyasova,2.3333333333333335,5
254,5.107920036,Milwaukee Bucks,Brook Lopez,1.1273333333333333,5
255,5.107920036,Milwaukee Bucks,Donte DiVincenzo,0.827,5
256,5.107920036,Milwaukee Bucks,Pat Connaughton,0.547,5
257,5.107920036,Milwaukee Bucks,Malcolm Brogdon,0.5149836666666666,5
258,5.107920036,Milwaukee Bucks,Sterling Brown,0.459414,5
259,5.107920036,Milwaukee Bucks,Pau Gasol,0.111095,5
260,5.107920036,Milwaukee Bucks,Tim Frazier,0.06551766666666667,5
261,5.049265225,Detroit Pistons,Blake Griffin,10.696310666666667,5
262,5.049265225,Detroit Pistons,Andre Drummond,8.478087666666667,5
263,5.049265225,Detroit Pistons,Reggie Jackson,5.6811593333333334,5
264,5.049265225,Detroit Pistons,Jon Leuer,3.334227,5
265,5.049265225,Detroit Pistons,Langston Galloway,2.3333333333333335,5
266,5.049265225,Detroit Pistons,Glenn Robinson III,1.3583333333333334,5
267,5.049265225,Detroit Pistons,Luke Kennard,1.09176,5
268,5.049265225,Detroit Pistons,Thon Maker,0.93324,5
269,5.049265225,Detroit Pistons,Wayne Ellington,0.7943586666666667,5
270,5.049265225,Detroit Pistons,Jose Calderon,0.5042003333333334,5
271,5.049265225,Detroit Pistons,Zaza Pachulia,0.5042003333333334,5
272,5.049265225,Detroit Pistons,Bruce Brown,0.279488,5
273,5.049265225,Detroit Pistons,Khyri Thomas,0.279488,5
274,3.9005986360000002,Los Angeles Lakers,LeBron James,11.884716666666666,5
275,3.9005986360000002,Los Angeles Lakers,Kentavious Caldwell-Pope,4.0,5
276,3.9005986360000002,Los Angeles Lakers,Rajon Rondo,3.0,5
277,3.9005986360000002,Los Angeles Lakers,Lonzo Ball,2.48732,5
278,3.9005986360000002,Los Angeles Lakers,Brandon Ingram,1.91904,5
279,3.9005986360000002,Los Angeles Lakers,Mike Muscala,1.6666666666666667,5
280,3.9005986360000002,Los Angeles Lakers,Lance Stephenson,1.483,5
281,3.9005986360000002,Los Angeles Lakers,Reggie Bullock,0.8333333333333334,5
282,3.9005986360000002,Los Angeles Lakers,Moritz Wagner,0.58736,5
283,3.9005986360000002,Los Angeles Lakers,Kyle Kuzma,0.56328,5
284,3.9005986360000002,Los Angeles Lakers,Josh Hart,0.55172,5
285,3.9005986360000002,Los Angeles Lakers,JaVale McGee,0.5042003333333334,5
286,3.9005986360000002,Los Angeles Lakers,Tyson Chandler,0.44438,5
287,3.9005986360000002,Los Angeles Lakers,Isaac Bonga,0.3333333333333333,5
288,2.634309708,Dallas Mavericks,Tim Hardaway Jr.,6.400042333333333,5
289,2.634309708,Dallas Mavericks,Courtney Lee,4.084593333333333,5
290,2.634309708,Dallas Mavericks,Dwight Powell,3.2104166666666667,5
291,2.634309708,Dallas Mavericks,Luka Doncic,2.18688,5
292,2.634309708,Dallas Mavericks,Dirk Nowitzki,1.6666666666666667,5
293,2.634309708,Dallas Mavericks,Justin Jackson,0.93596,5
294,2.634309708,Dallas Mavericks,Trey Burke,0.5983383333333333,5
295,2.634309708,Dallas Mavericks,Dorian Finney-Smith,0.5149836666666666,5
296,2.634309708,Dallas Mavericks,Devin Harris,0.5042003333333334,5
297,2.634309708,Dallas Mavericks,Maxi Kleber,0.459414,5
298,2.634309708,Dallas Mavericks,Jalen Brunson,0.41,5
299,2.634309708,Dallas Mavericks,Ryan Broekhoff,0.279488,5
300,2.634309708,Dallas Mavericks,Salah Mejri,0.17091533333333334,5
301,1.767519876,New York Knicks,DeAndre Jordan,7.6324,5
302,1.767519876,New York Knicks,Lance Thomas,2.3732166666666665,5
303,1.767519876,New York Knicks,Mario Hezonja,2.1666666666666665,5
304,1.767519876,New York Knicks,Emmanuel Mudiay,1.4314933333333333,5
305,1.767519876,New York Knicks,Frank Ntilikina,1.38524,5
306,1.767519876,New York Knicks,Dennis Smith Jr.,1.27332,5
307,1.767519876,New York Knicks,Kevin Knox,1.24664,5
308,1.767519876,New York Knicks,Allonzo Trier,1.1273333333333333,5
309,1.767519876,New York Knicks,Luke Kornet,0.5397533333333333,5
310,1.767519876,New York Knicks,Noah Vonleh,0.5042003333333334,5
311,1.767519876,New York Knicks,Mitchell Robinson,0.4951466666666667,5
312,1.767519876,New York Knicks,Damyean Dotson,0.459414,5
313,1.767519876,New York Knicks,John Jenkins,0.16217333333333334,5
314,1.767519876,New York Knicks,Henry Ellenson,0.11394366666666667,5
315,1.767519876,New York Knicks,Billy Garrett,0.014211333333333333,5
316,1.628278788,Brooklyn Nets,Allen Crabbe,6.166666666666667,5
317,1.628278788,Brooklyn Nets,DeMarre Carroll,5.133333333333334,5
318,1.628278788,Brooklyn Nets,Jared Dudley,3.1766666666666667,5
319,1.628278788,Brooklyn Nets,Joe Harris,2.7777776666666667,5
320,1.628278788,Brooklyn Nets,D'Angelo Russell,2.3398993333333333,5
321,1.628278788,Brooklyn Nets,Ed Davis,1.483,5
322,1.628278788,Brooklyn Nets,Rondae Hollis-Jefferson,0.8234523333333333,5
323,1.628278788,Brooklyn Nets,Jarrett Allen,0.67804,5
324,1.628278788,Brooklyn Nets,Shabazz Napier,0.647474,5
325,1.628278788,Brooklyn Nets,Caris LeVert,0.5676,5
326,1.628278788,Brooklyn Nets,Spencer Dinwiddie,0.5520306666666667,5
327,1.628278788,Brooklyn Nets,Dzanan Musa,0.54408,5
328,1.628278788,Brooklyn Nets,Rodions Kurucs,0.53944,5
329,1.628278788,Brooklyn Nets,Treveon Graham,0.5042003333333334,5
330,1.628278788,Brooklyn Nets,Theo Pinson,0.001579,5
331,0.394281214,Orlando Magic,Aaron Gordon,7.196969666666667,5
332,0.394281214,Orlando Magic,Evan Fournier,5.666666666666667,5
333,0.394281214,Orlando Magic,Nikola Vucevic,4.416666666666667,5
334,0.394281214,Orlando Magic,Terrence Ross,3.5,5
335,0.394281214,Orlando Magic,Markelle Fultz,2.77996,5
336,0.394281214,Orlando Magic,D.J. Augustin,2.4166666666666665,5
337,0.394281214,Orlando Magic,Jonathan Isaac,1.65636,5
338,0.394281214,Orlando Magic,Jerian Grant,0.8797713333333333,5
339,0.394281214,Orlando Magic,Jarell Martin,0.8054073333333334,5
340,0.394281214,Orlando Magic,Khem Birch,0.459414,5
341,0.394281214,Orlando Magic,Michael Carter-Williams,0.01994,5
342,-0.49881092,Memphis Grizzlies,Mike Conley,10.173705,5
343,-0.49881092,Memphis Grizzlies,Chandler Parsons,8.035752666666667,5
344,-0.49881092,Memphis Grizzlies,Jonas Valanciunas,5.513108666666667,5
345,-0.49881092,Memphis Grizzlies,Avery Bradley,4.0,5
346,-0.49881092,Memphis Grizzlies,Kyle Anderson,2.880333333333333,5
347,-0.49881092,Memphis Grizzlies,Jaren Jackson Jr.,1.97168,5
348,-0.49881092,Memphis Grizzlies,Justin Holiday,1.4615383333333334,5
349,-0.49881092,Memphis Grizzlies,Delon Wright,0.8456326666666667,5
350,-0.49881092,Memphis Grizzlies,Dillon Brooks,0.459414,5
351,-0.49881092,Memphis Grizzlies,Tyler Dorsey,0.459414,5
352,-0.49881092,Memphis Grizzlies,Ivan Rabb,0.459414,5
353,-0.49881092,Memphis Grizzlies,Joakim Noah,0.36461933333333335,5
354,-0.49881092,Memphis Grizzlies,Jevon Carter,0.279488,5
355,-0.49881092,Memphis Grizzlies,Bruno Caboclo,0.17405,5
356,-1.257988701,Sacramento Kings,Harrison Barnes,8.264567333333334,5
357,-1.257988701,Sacramento Kings,Alec Burks,3.845505,5
358,-1.257988701,Sacramento Kings,Bogdan Bogdanovic,3.0,5
359,-1.257988701,Sacramento Kings,Kosta Koufos,2.9131666666666667,5
360,-1.257988701,Sacramento Kings,Marvin Bagley III,2.4352,5
361,-1.257988701,Sacramento Kings,Nemanja Bjelica,2.1666666666666665,5
362,-1.257988701,Sacramento Kings,De'Aaron Fox,1.82364,5
363,-1.257988701,Sacramento Kings,Willie Cauley-Stein,1.565625,5
364,-1.257988701,Sacramento Kings,Buddy Hield,1.27792,5
365,-1.257988701,Sacramento Kings,Yogi Ferrell,1.0,5
366,-1.257988701,Sacramento Kings,Corey Brewer,0.6666666666666666,5
367,-1.257988701,Sacramento Kings,Caleb Swanigan,0.58,5
368,-1.5390419690000001,Chicago Bulls,Otto Porter Jr.,8.670637666666666,5
369,-1.5390419690000001,Chicago Bulls,Zach LaVine,6.5,5
370,-1.5390419690000001,Chicago Bulls,Robin Lopez,4.785916666666667,5
371,-1.5390419690000001,Chicago Bulls,Cristiano Felicio,2.82366,5
372,-1.5390419690000001,Chicago Bulls,Lauri Markkanen,1.51204,5
373,-1.5390419690000001,Chicago Bulls,Wendell Carter Jr.,1.4804,5
374,-1.5390419690000001,Chicago Bulls,Kris Dunn,1.407,5
375,-1.5390419690000001,Chicago Bulls,Chandler Hutchison,0.66384,5
376,-1.5390419690000001,Chicago Bulls,Timothe Luwawu-Cabarrot,0.5149836666666666,5
377,-1.5390419690000001,Chicago Bulls,Wayne Selden,0.5149836666666666,5
378,-1.5390419690000001,Chicago Bulls,Ryan Arcidiacono,0.44979433333333335,5
